Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
46110, 1237.0, 500.0, 3.39, 19692.0, 0
5202, 1748.93, 488.0, 2.34, -1, 4
46116, 1363.0, 500.0, 3.08, 25154.0, 4
46112, 1846.0, 501.0, 2.27, 11912.0, 3
5204, 1581.84, 493.0, 2.61, -1, 0
5203, 1497.07, 488.0, 2.74, -1, 4
5204, 1574.0, 488.0, 2.6, -1, 1
46112, 1693.0, 501.0, 2.48, 13850.0, 2
46110, 1639.15, 501.0, 2.56, 24699.0, 1
46110, 963.0, 500.0, 4.36, 20658.0, 3
46114, 1495.0, 500.0, 2.81, 34274.0, 4
46112, 1702.0, 500.0, 2.47, 8804.0, 0
5204, 1337.82, 492.0, 3.08, -1, 3
5204, 1648.0, 485.0, 2.47, -1, 2
46112, 1313.0, 500.0, 3.19, 22614.0, 1
5201, 1473.28, 490.0, 2.79, -1, 4
46110, 1619.0, 500.0, 2.59, 8222.0, 2
5201, 1238.5, 492.0, 3.33, -1, 0
46114, 1411.0, 500.0, 2.97, 20235.0, 1
5202, 1696.65, 487.0, 2.41, -1, 2
46116, 1648.0, 500.0, 2.55, 10102.0, 2
5203, 1851.65, 492.0, 2.23, -1, 3
5203, 1384.94, 485.0, 2.94, -1, 2
46112, 1746.0, 501.0, 2.41, 30469.0, 4
46116, 1337.0, 500.0, 3.14, 11042.0, 3
5202, 1847.82, 493.0, 2.24, -1, 3
46114, 1719.0, 501.0, 2.45, 10422.0, 0
5201, 1639.97, 491.0, 2.51, -1, 1
5201, 964.73, 491.0, 4.27, -1, 3
46114, 1383.0, 500.0, 3.03, 12927.0, 2
5202, 1314.32, 493.0, 3.14, -1, 1
46116, 1574.0, 500.0, 2.67, 17171.0, 1
5203, 1720.22, 493.0, 2.41, -1, 0
5204, 1365.35, 490.0, 3.01, -1, 4
5203, 1412.83, 494.0, 2.93, -1, 1
46116, 1580.0, 501.0, 2.66, 20915.0, 0
5202, 1703.08, 496.0, 2.45, -1, 0
46114, 1851.0, 501.0, 2.27, 14072.0, 3
5201, 1620.83, 487.0, 2.52, -1, 2
46110, 1471.0, 501.0, 2.86, 36022.0, 4
