Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5201, 488.14, 194.0, 3.34, -1, 1
5202, 672.43, 195.0, 2.43, -1, 3
46114, 627.0, 200.0, 2.68, 5496.0, 0
46116, 678.0, 200.0, 2.48, 3392.0, 3
5203, 714.74, 194.0, 2.28, -1, 2
46112, 699.0, 200.0, 2.41, 3346.0, 4
5203, 530.5, 191.0, 3.02, -1, 3
46116, 640.0, 201.0, 2.63, 3615.0, 2
46114, 648.0, 200.0, 2.6, 3701.0, 1
5202, 643.45, 194.0, 2.53, -1, 2
5201, 527.57, 191.0, 3.04, -1, 0
5201, 715.56, 193.0, 2.27, -1, 2
46110, 537.0, 201.0, 3.14, 4478.0, 4
5202, 383.77, 186.0, 4.06, -1, 0
46114, 529.0, 200.0, 3.17, 3994.0, 3
46116, 700.0, 201.0, 2.41, 3772.0, 0
5204, 642.95, 194.0, 2.53, -1, 4
5203, 649.18, 193.0, 2.5, -1, 1
5203, 628.28, 192.0, 2.56, -1, 0
46116, 620.0, 200.0, 2.71, 4108.0, 1
46114, 714.0, 201.0, 2.36, 2768.0, 2
5202, 338.33, 185.0, 4.59, -1, 1
5201, 548.43, 193.0, 2.95, -1, 3
46110, 487.54, 201.0, 3.46, 7272.0, 1
5203, 700.82, 196.0, 2.34, -1, 4
5204, 621.18, 195.0, 2.64, -1, 1
46112, 642.0, 200.0, 2.62, 3414.0, 2
46112, 671.0, 200.0, 2.5, 3546.0, 3
5204, 701.18, 190.0, 2.27, -1, 0
46116, 642.0, 200.0, 2.61, 2761.0, 4
5202, 700.15, 195.0, 2.34, -1, 4
46110, 526.0, 200.0, 3.19, 6588.0, 0
5201, 538.17, 191.0, 2.97, -1, 4
46110, 714.0, 200.0, 2.35, 3181.0, 2
5204, 641.4, 195.0, 2.55, -1, 2
46112, 337.0, 200.0, 4.98, 11107.0, 1
46112, 382.0, 200.0, 4.4, 12718.0, 0
5204, 679.1, 195.0, 2.41, -1, 3
46114, 700.0, 200.0, 2.4, 2819.0, 4
46110, 547.0, 200.0, 3.07, 3067.0, 3
