Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   737 KBytes  6.03 Mbits/sec    0   67.9 KBytes       
[  4]   1.00-2.00   sec   509 KBytes  4.17 Mbits/sec    0   89.1 KBytes       
[  4]   2.00-3.00   sec   445 KBytes  3.65 Mbits/sec    0    107 KBytes       
[  4]   3.00-4.00   sec   509 KBytes  4.17 Mbits/sec    0    126 KBytes       
[  4]   4.00-5.00   sec   509 KBytes  4.17 Mbits/sec    0    147 KBytes       
[  4]   5.00-6.00   sec   509 KBytes  4.17 Mbits/sec    0    167 KBytes       
[  4]   6.00-7.00   sec   573 KBytes  4.69 Mbits/sec    0    201 KBytes       
[  4]   7.00-8.00   sec   827 KBytes  6.77 Mbits/sec    0    272 KBytes       
[  4]   8.00-9.00   sec  1018 KBytes  8.34 Mbits/sec    0    363 KBytes       
[  4]   9.00-10.00  sec  1.12 MBytes  9.38 Mbits/sec    0    479 KBytes       
[  4]  10.00-11.00  sec  1.30 MBytes  10.9 Mbits/sec    0    624 KBytes       
[  4]  11.00-12.00  sec  1.12 MBytes  9.37 Mbits/sec    0    751 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    912 KBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.19 MBytes       
[  4]  14.00-15.00  sec   487 KBytes  3.99 Mbits/sec    0   1.24 MBytes       
[  4]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.69 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.80 MBytes       
[  4]  17.00-18.00  sec   487 KBytes  3.99 Mbits/sec  197   1.36 MBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  158   1.26 MBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  153   1.23 MBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  269    930 KBytes       
[  4]  21.00-22.00  sec   445 KBytes  3.65 Mbits/sec   90    617 KBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec   57    601 KBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    906 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    916 KBytes       
[  4]  25.00-26.00  sec  1.03 MBytes  8.69 Mbits/sec    0    983 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    994 KBytes       
[  4]  27.00-28.00  sec   827 KBytes  6.77 Mbits/sec    0   1.02 MBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0   1.03 MBytes       
[  4]  29.00-30.00  sec   700 KBytes  5.74 Mbits/sec    0   1.05 MBytes       
[  4]  30.00-31.00  sec   382 KBytes  3.13 Mbits/sec    0   1.05 MBytes       
[  4]  31.00-32.00  sec   700 KBytes  5.74 Mbits/sec    0   1.06 MBytes       
[  4]  32.00-33.00  sec   382 KBytes  3.13 Mbits/sec    0   1.06 MBytes       
[  4]  33.00-34.00  sec   700 KBytes  5.73 Mbits/sec    0   1.07 MBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0   1.08 MBytes       
[  4]  35.00-36.00  sec   827 KBytes  6.78 Mbits/sec    0   1.11 MBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec    0   1.12 MBytes       
[  4]  37.00-38.00  sec   891 KBytes  7.29 Mbits/sec    0   1.19 MBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   522 Kbits/sec    0   1.20 MBytes       
[  4]  39.00-40.00  sec  1.06 MBytes  8.85 Mbits/sec    0   1.36 MBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   1.36 MBytes       
[  4]  41.00-42.00  sec   573 KBytes  4.69 Mbits/sec   24   1.43 MBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec   38   1.25 MBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   87   1.07 MBytes       
[  4]  44.00-45.00  sec  63.6 KBytes   521 Kbits/sec   58   1.07 MBytes       
[  4]  45.00-46.00  sec   954 KBytes  7.82 Mbits/sec  162   1.07 MBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec   32   1.07 MBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec  215   1.07 MBytes       
[  4]  48.00-49.00  sec   954 KBytes  7.82 Mbits/sec  178    807 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   56    766 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec   22    766 KBytes       
[  4]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    772 KBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0    816 KBytes       
[  4]  53.00-54.01  sec  1.25 MBytes  10.4 Mbits/sec    0    858 KBytes       
[  4]  54.01-55.00  sec   671 KBytes  5.57 Mbits/sec    0    881 KBytes       
[  4]  55.00-56.00  sec   509 KBytes  4.17 Mbits/sec    0    898 KBytes       
[  4]  56.00-57.00  sec   891 KBytes  7.31 Mbits/sec    0    918 KBytes       
[  4]  57.00-58.00  sec   700 KBytes  5.73 Mbits/sec    0    925 KBytes       
[  4]  58.00-59.00  sec   445 KBytes  3.65 Mbits/sec    0    926 KBytes       
[  4]  59.00-60.00  sec   700 KBytes  5.73 Mbits/sec    0    930 KBytes       
[  4]  60.00-61.00  sec   891 KBytes  7.30 Mbits/sec    0    938 KBytes       
[  4]  61.00-62.00  sec   382 KBytes  3.13 Mbits/sec    0    947 KBytes       
[  4]  62.00-63.00  sec   573 KBytes  4.69 Mbits/sec    0    960 KBytes       
[  4]  63.00-64.00  sec   891 KBytes  7.29 Mbits/sec    0   1007 KBytes       
[  4]  64.00-65.00  sec   636 KBytes  5.22 Mbits/sec    0   1.03 MBytes       
[  4]  65.00-66.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.11 MBytes       
[  4]  66.00-67.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.21 MBytes       
[  4]  67.00-68.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.33 MBytes       
[  4]  68.00-69.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.47 MBytes       
[  4]  69.00-70.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.64 MBytes       
[  4]  70.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   1.64 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-70.00  sec  50.2 MBytes  6.01 Mbits/sec  1796             sender
[  4]   0.00-70.00  sec  41.8 MBytes  5.01 Mbits/sec                  receiver

iperf Done.
