Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   181 KBytes  1.48 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.01   sec   516 KBytes  4.21 Mbits/sec    0   79.2 KBytes       
[  4]   2.01-3.00   sec   191 KBytes  1.57 Mbits/sec    0   87.7 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0    102 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0    117 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    157 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.08 Mbits/sec    0    192 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.12 Mbits/sec    0    236 KBytes       
[  4]   9.00-10.00  sec   191 KBytes  1.57 Mbits/sec   27    195 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    189 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   31    185 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    185 KBytes       
[  4]  13.00-14.00  sec   509 KBytes  4.17 Mbits/sec    0    129 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    133 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]  16.00-17.01  sec   127 KBytes  1.04 Mbits/sec    0    148 KBytes       
[  4]  17.01-18.00  sec  63.6 KBytes   522 Kbits/sec    0    150 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   522 Kbits/sec    0    154 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   522 Kbits/sec    0    156 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    160 KBytes       
[  4]  21.00-22.02  sec   127 KBytes  1.02 Mbits/sec    0    174 KBytes       
[  4]  22.02-23.01  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  4]  23.01-24.01  sec   191 KBytes  1.56 Mbits/sec    0    219 KBytes       
[  4]  24.01-25.00  sec  0.00 Bytes  0.00 bits/sec    0    228 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    300 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    5    287 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   25    209 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    9    209 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    209 KBytes       
[  4]  30.00-31.00  sec   382 KBytes  3.12 Mbits/sec    0    206 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   522 Kbits/sec   25    146 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    146 KBytes       
[  4]  33.00-34.00  sec   318 KBytes  2.61 Mbits/sec    0    151 KBytes       
[  4]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec    0    154 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec    0    167 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.05 Mbits/sec    0    173 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec    0    174 KBytes       
[  4]  39.00-40.01  sec   127 KBytes  1.04 Mbits/sec    0    182 KBytes       
[  4]  40.01-41.00  sec   127 KBytes  1.05 Mbits/sec    0    201 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   521 Kbits/sec    0    209 KBytes       
[  4]  42.00-43.00  sec   127 KBytes  1.04 Mbits/sec    0    252 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    0    301 KBytes       
[  4]  44.00-45.00  sec   509 KBytes  4.17 Mbits/sec    0    361 KBytes       
[  4]  45.00-46.00  sec   954 KBytes  7.82 Mbits/sec    0    479 KBytes       
[  4]  46.00-47.00  sec   318 KBytes  2.61 Mbits/sec    0    523 KBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0    708 KBytes       
[  4]  48.00-49.00  sec   693 KBytes  5.67 Mbits/sec    0    783 KBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  4]  50.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   1.04 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-50.00  sec  10.9 MBytes  1.83 Mbits/sec  122             sender
[  4]   0.00-50.00  sec  6.98 MBytes  1.17 Mbits/sec                  receiver

iperf Done.
