Step; State; Reward
1; [[0.07263 2.113   0.      0.03925 0.      0.      1.9     1.882   0.03925
  1.879   1.879   0.      0.      0.      0.      0.     ]]; [59.220856]
2; [[ 0.278 11.16   0.     0.247  0.     0.    10.42  10.27   0.247  8.7
   8.7    0.     0.     0.     0.     0.   ]]; [1155.6937]
3; [[ 0.6167 12.45    0.      0.6177  0.      0.     11.76   11.85    0.6196
  10.14   10.14    0.      0.      0.      0.      0.    ]]; [1541.8293]
4; [[0.355 9.72  0.    0.355 0.    0.    9.46  9.45  0.355 9.086 9.086 0.
  0.    0.    0.    0.   ]]; [1026.4197]
5; [[ 3.926  7.234  0.     3.926  0.     0.    12.97   9.49   0.447  8.69
   8.69   0.     0.     0.     3.477  0.   ]]; [1675.1691]
6; [[ 3.256  7.566  0.     3.256  0.     0.    10.48   9.336  0.558  8.375
   8.375  0.     0.     0.     2.7    0.   ]]; [1444.2473]
7; [[3.9258e+00 6.5820e+00 1.1444e-04 3.9258e+00 1.1444e-04 1.1444e-04
  1.0086e+01 9.5078e+00 4.4482e-01 7.9922e+00 7.9922e+00 1.1444e-04
  1.1444e-04 1.1444e-04 3.4844e+00 1.1444e-04]]; [1544.3596]
8; [[ 8.98   6.78   0.    12.84   4.54   0.     9.836 14.01   5.234  9.06
  13.6    0.     0.     4.535  7.613  0.   ]]; [4573.4697]
9; [[9.4297e+00 6.1797e+00 1.1444e-04 1.4141e+01 4.8828e+00 1.1444e-04
  9.8281e+00 1.4336e+01 5.6367e+00 9.2422e+00 1.4133e+01 1.1444e-04
  1.1444e-04 4.8867e+00 8.5000e+00 1.1444e-04]]; [4929.0317]
10; [[ 9.45  10.28   0.    18.31   8.78   0.     9.54  18.23   9.66   9.445
  18.23   0.     0.     8.78   8.95   0.   ]]; [7317.238]
11; [[9.2578e+00 1.0945e+01 1.1444e-04 1.8188e+01 8.8672e+00 1.1444e-04
  9.4062e+00 1.7984e+01 9.5781e+00 9.2656e+00 1.7984e+01 1.1444e-04
  1.1444e-04 8.8672e+00 9.0000e+00 1.1444e-04]]; [7184.6987]
12; [[ 9.47   9.375  0.    18.72   8.79   0.     9.57  18.36   9.97   9.45
  18.36   0.     0.     8.79   9.28   0.   ]]; [7379.947]
13; [[9.4531e+00 1.0961e+01 1.1444e-04 1.8688e+01 9.2188e+00 2.4033e-04
  9.4766e+00 1.8656e+01 1.0117e+01 2.1934e+00 1.1391e+01 1.1444e-04
  1.1444e-04 9.2188e+00 9.2500e+00 1.1444e-04]]; [6808.2866]
14; [[ 9.33   9.375  0.    18.39   8.94   0.     9.45  17.98   9.71   0.231
   8.9    0.     0.     8.94   9.08   0.   ]]; [6177.3193]
15; [[9.4297e+00 1.0219e+01 1.1444e-04 1.7641e+01 9.1641e+00 1.1444e-04
  8.4609e+00 1.8594e+01 1.0203e+01 1.5027e-01 9.3203e+00 1.1444e-04
  1.1444e-04 9.1641e+00 8.1953e+00 1.1444e-04]]; [6356.198]
16; [[ 9.46   10.7     0.      9.445   8.95    0.      0.4875 10.7     9.29
   0.3328  9.27    0.      0.      8.95    0.      0.    ]]; [3257.8245]
17; [[4.0430e-01 9.1953e+00 1.1444e-04 4.2749e-01 1.1444e-04 1.1444e-04
  9.4844e+00 9.4766e+00 4.2749e-01 5.2002e-01 5.2002e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [685.13495]
18; [[ 0.2788 10.164   0.      0.2957  0.      0.      9.48    9.48    0.2957
   1.196   1.196   0.      0.      0.      0.      0.    ]]; [722.0784]
19; [[0.472  9.1    0.     0.4712 0.     0.     9.484  9.48   0.4712 2.984
  2.984  0.     0.     0.     0.     0.    ]]; [786.6544]
20; [[0.3662 9.82   0.     0.3662 0.     0.     9.32   9.24   0.3662 4.56
  4.56   0.     0.     0.     0.     0.    ]]; [826.16644]
21; [[ 0.3188 12.664   0.      0.3188  0.      0.     11.84   11.836   0.3188
   5.62    5.62    0.      0.      0.      0.      0.    ]]; [1290.7262]
22; [[ 0.2183 10.02    0.      0.2183  0.      0.      9.484   9.484   0.2183
   5.55    5.55    0.      0.      0.      0.      0.    ]]; [885.08295]
23; [[0.4167 9.74   0.     0.4158 0.     0.     9.48   9.49   0.4158 6.484
  6.484  0.     0.     0.     0.     0.    ]]; [934.8092]
24; [[0.2153 9.734  0.     0.2151 0.     0.     9.36   9.35   0.215  6.156
  6.156  0.     0.     0.     0.     0.    ]]; [884.71716]
25; [[ 0.4836 11.67    0.      0.486   0.      0.     11.805  11.8     0.486
   7.758   7.758   0.      0.      0.      0.      0.    ]]; [1382.403]
26; [[3.6328e-01 9.5312e+00 1.1444e-04 3.8354e-01 1.1444e-04 1.1444e-04
