Step; State; Reward
0; [[0.006405 0.       0.       0.       0.       0.       0.       0.
34; [[1.0052e-01 5.2539e+00 1.1444e-04 9.8083e-02 1.1444e-04 1.1444e-04
  3.5254e+00 3.6875e+00 9.8083e-02 3.6875e+00 3.6875e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
35; [[ 0.543 15.99   0.     0.537  0.     0.    14.25  12.36   0.587 12.36
  12.36   0.     0.     0.     0.     0.   ]]; [1878.2927]
36; [[ 3.06  12.57   0.     3.06   0.     0.    12.164  9.47   0.451  9.47
   9.47   0.     2.66   0.     0.     0.   ]]; [1651.3833]
37; [[ 3.14    8.164   0.      3.14    0.      0.     11.68    9.1     0.5654
   9.1     9.1     0.      2.547   0.      0.      0.    ]]; [1469.3748]
38; [[2.6172e-01 1.3867e+01 0.0000e+00 2.7075e-01 1.4305e-04 1.4305e-04
  1.1250e+01 1.1336e+01 2.7075e-01 1.1336e+01 1.1336e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1498.7705]
39; [[ 0.5444 10.664   0.      0.561   0.      0.     11.5    11.49    0.561
  11.49   11.49    0.      0.      0.      0.      0.    ]]; [1496.2949]
40; [[1.8481e-01 9.2344e+00 1.1444e-04 1.8469e-01 1.1444e-04 2.4033e-04
  9.1797e+00 9.1406e+00 1.8469e-01 9.1406e+00 9.1406e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [958.0779]
41; [[ 0.1947 10.06    0.      0.1945  0.      0.      9.33    9.305   0.1943
   9.305   9.305   0.      0.      0.      0.      0.    ]]; [1002.96027]
42; [[2.6782e-01 1.2070e+01 1.4305e-04 2.7197e-01 3.0136e-04 1.4305e-04
  1.1555e+01 1.1539e+01 2.7246e-01 1.1539e+01 1.1539e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1505.419]
43; [[0.1931 9.34   0.     0.1931 0.     0.     9.28   9.23   0.1931 9.23
