timeslot;switch_id;eth_dst;eth_src;eth_type;ipv4_src;ipv4_dst;in_port;packet_count;byte_count;duration_sec;idle_timeout_s;hard_timeout_s;priority;flow_id
20;00:00:00:00:00:00:00:03;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;2;37669;2149969834;2;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-2
20;00:00:00:00:00:00:00:03;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;2;1;74;0;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-2
20;00:00:00:00:00:00:00:03;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;3;4387;289550;3;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-3
20;00:00:00:00:00:00:00:03;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;2;18891;1074988662;3;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-2
20;00:00:00:00:00:00:00:03;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;3;8641;570314;2;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-3
20;00:00:00:00:00:00:00:01;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;2;4386;289476;3;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-2
20;00:00:00:00:00:00:00:01;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;1;18890;1074988588;3;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-1
20;00:00:00:00:00:00:00:01;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;1;37668;2149969760;2;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-1
20;00:00:00:00:00:00:00:01;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;2;8640;570240;2;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-2
20;00:00:00:00:00:00:00:01;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;2;12982;856820;1;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-2
20;00:00:00:00:00:00:00:01;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;1;1;66;0;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-1
20;00:00:00:00:00:00:00:01;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;1;56361;3213512634;1;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-1
20;00:00:00:00:00:00:00:01;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;2;1;66;0;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-2
21;00:00:00:00:00:00:00:04;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;1;4386;289476;5;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-1
21;00:00:00:00:00:00:00:04;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;2;56564;3224958728;3;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-2
21;00:00:00:00:00:00:00:04;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;1;17319;1143054;2;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-1
21;00:00:00:00:00:00:00:04;00:00:00:00:00:04;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.4;2;37669;2149969834;4;5;0;1;00:00:00:00:00:01-00:00:00:00:00:04-0x800-10.0.0.1-10.0.0.4-2
21;00:00:00:00:00:00:00:04;00:00:00:00:00:01;00:00:00:00:00:04;0x800;10.0.0.4;10.0.0.1;1;2246;148236;0;5;0;1;00:00:00:00:00:04-00:00:00:00:00:01-0x800-10.0.0.4-10.0.0.1-1
