snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"]
10,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,41553666,5,629601,55
10,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,131414999260,5,2336218,55
10,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,41553666,5,629601,55
11,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,138018317562,5,2474061,61
11,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,47980028,5,726970,61
11,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,138018317488,5,2474060,61
11,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,47979954,5,726969,61
11,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,138018317562,5,2474061,61
11,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,47979954,5,726969,61
12,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,143085937142,5,2582495,67
12,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,53410442,5,809249,67
12,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,143085937068,5,2582494,67
12,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,53410368,5,809248,67
12,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,143085937142,5,2582495,67
12,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,53410368,5,809248,67
13,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,151346602392,5,2748064,73
13,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,59891510,5,907447,73
13,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,151346602318,5,2748063,73
13,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,59891436,5,907446,73
13,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,152672608410,5,2774489,73
13,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,60929154,5,923169,73
14,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,160476010470,5,2929855,79
14,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,66969482,5,1014689,79
14,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,160476010396,5,2929854,79
14,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,66969408,5,1014688,79
14,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,160476010470,5,2929855,79
14,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,66969408,5,1014688,79
15,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,167872963644,5,3073582,85
15,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,71907338,5,1089505,85
15,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,167872963570,5,3073581,85
15,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,71907264,5,1089504,85
15,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,167872963644,5,3073582,85
15,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,71907264,5,1089504,85
16,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,177258381792,5,3237796,92
16,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,74384912,5,1127044,91
16,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,177258381718,5,3237795,91
16,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,74384838,5,1127043,91
16,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,177258381792,5,3237796,92
16,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,74384838,5,1127043,92
17,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,189765223826,5,3461017,98
17,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,78424376,5,1188248,98
17,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,189765223752,5,3461016,98
17,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,78424302,5,1188247,98
17,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,189765223826,5,3461017,98
17,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,78424302,5,1188247,98
18,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,201339946192,5,3683220,104
18,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,85338668,5,1293010,104
18,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,201339946118,5,3683219,104
18,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,85338594,5,1293009,104
18,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,201339946192,5,3683220,104
18,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,85338594,5,1293009,104
19,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,218590482944,5,3985188,110
19,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,89884484,5,1361886,110
19,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,218590482870,5,3985187,110
19,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,89884410,5,1361885,110
19,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,218590482944,5,3985188,110
19,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,89884410,5,1361885,110
20,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,238133771906,5,4327537,116
20,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,95064164,5,1440366,116
20,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,238133771832,5,4327536,116
20,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,95064090,5,1440365,116
20,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,238133771906,5,4327537,116
20,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,95064090,5,1440365,116
21,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,250561652590,5,4545223,122
21,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,98357498,5,1490265,122
21,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,250561652516,5,4545222,122
21,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,98357424,5,1490264,122
21,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,250561652590,5,4545223,122
21,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,98357424,5,1490264,122
