snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate,link_A_usage_rate_bw,link_B_usage_rate_bw,link_C_usage_rate_bw,link_D_usage_rate_bw,link_E_usage_rate_bw,link_F_usage_rate_bw
0,0.0,0.0,6e-06,6e-06,0.0,0.0,0.0,0.0,5.7220458984375e-06,5.7220458984375e-06,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
12,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
13,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
14,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
15,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
16,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
17,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
18,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
19,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
20,0.8403634,0.0,0.8403695,6e-06,0.0,0.00074,0.801432991027832,0.0,0.8014388084411621,5.7220458984375e-06,0.0,0.000705718994140625
21,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
22,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
23,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
24,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
25,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
26,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
27,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
28,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
29,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
30,26.8745621,0.0,26.8745115,6e-06,0.0,0.0063589,25.629579639434816,0.0,25.629531383514404,5.7220458984375e-06,0.0,0.006064319610595703
31,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
32,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
33,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
34,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
35,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
36,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
37,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
38,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
39,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
40,584.0828867,0.0,584.0832579,0.0,0.0,0.1548376,557.0248476982117,0.0,557.0252017021179,0.0,0.0,0.14766464233398438
41,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
42,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
43,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
44,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
45,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
46,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
47,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
48,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
49,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
50,1819.9052243,0.0,1820.0769701,6e-06,0.0,0.4823817,1735.5968707084655,0.0,1735.7606602668761,5.7220458984375e-06,0.0,0.4600350379943848
51,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
52,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
53,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
54,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
55,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
56,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
57,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
58,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
59,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
60,1590.3162444,0.0,1590.1414802,6e-06,0.0,0.4598466,1516.643757247925,0.0,1516.4770891189576,5.7220458984375e-06,0.0,0.43854389190673826
61,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
62,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
63,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
64,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
65,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
66,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
67,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
68,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
69,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
70,1999.2329973,0.0,1999.2354763,0.0,0.0,0.5294768,1906.6171620368957,0.0,1906.619526195526,0.0,0.0,0.5049484252929688
71,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
72,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
73,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
74,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
75,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
76,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
77,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
78,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
79,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
80,2109.854865,0.0,2109.8531121,6e-06,0.0,0.5579645,2012.1143960952759,0.0,2012.1127243995666,5.7220458984375e-06,0.0,0.5321164131164551
81,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
82,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
83,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
84,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
85,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
86,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
87,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
88,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
89,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
90,1520.1788236,0.0,1520.1791404,0.0,0.0,0.4108504,1449.7555004119872,0.0,1449.7558025360108,0.0,0.0,0.3918174743652344
91,1057.9865068,0.0,1057.9864916,6e-06,0.0,0.2804868,1008.9745586395263,0.0,1008.9745441436768,5.7220458984375e-06,0.0,0.26749305725097655
92,1057.9865068,0.0,1057.9864916,6e-06,0.0,0.2804868,1008.9745586395263,0.0,1008.9745441436768,5.7220458984375e-06,0.0,0.26749305725097655
93,1057.9865068,0.0,1057.9864916,6e-06,0.0,0.2804868,1008.9745586395263,0.0,1008.9745441436768,5.7220458984375e-06,0.0,0.26749305725097655
94,1057.9865068,0.0,1057.9864916,6e-06,0.0,0.2804868,1008.9745586395263,0.0,1008.9745441436768,5.7220458984375e-06,0.0,0.26749305725097655
