Step; State; Reward
128; [[ 9.53  10.42   9.72   9.53   0.     0.     9.336 18.86  10.336  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [0.]
129; [[ 9.47  12.77   9.92   9.445  0.     0.     8.45  17.05   9.6    0.
   8.6    0.     0.     8.66   0.     0.   ]]; [5169.901]
130; [[ 9.51   3.936  7.652  9.51   0.     0.     5.96  14.484  9.37   0.
   8.52   0.     0.     8.47   0.     0.   ]]; [3881.2317]
131; [[ 9.51   3.936  7.652  9.51   0.     0.     5.96  14.484  9.37   0.
   8.52   0.     0.     8.47   0.     0.   ]]; [0.]
132; [[11.8    0.    13.3   11.805  0.     0.     0.    11.805 12.29   0.
  11.805  0.     0.    11.805  0.     0.   ]]; [4205.1807]
133; [[ 9.52   0.     7.87   9.53   0.     0.     0.     9.53  10.086  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [2672.0286]
134; [[9.523e+00 5.605e+00 7.930e+00 9.523e+00 0.000e+00 0.000e+00 4.270e+00
  1.236e+01 8.398e+00 4.620e-03 8.094e+00 0.000e+00 0.000e+00 8.062e+00
  0.000e+00 0.000e+00]]; [3381.1208]
135; [[9.523e+00 5.605e+00 7.930e+00 9.523e+00 0.000e+00 0.000e+00 4.270e+00
  1.236e+01 8.398e+00 4.620e-03 8.094e+00 0.000e+00 0.000e+00 8.062e+00
  0.000e+00 0.000e+00]]; [0.]
136; [[9.523e+00 5.605e+00 7.930e+00 9.523e+00 0.000e+00 0.000e+00 4.270e+00
  1.236e+01 8.398e+00 4.620e-03 8.094e+00 0.000e+00 0.000e+00 8.062e+00
  0.000e+00 0.000e+00]]; [0.]
137; [[9.523e+00 5.605e+00 7.930e+00 9.523e+00 0.000e+00 0.000e+00 4.270e+00
  1.236e+01 8.398e+00 4.620e-03 8.094e+00 0.000e+00 0.000e+00 8.062e+00
  0.000e+00 0.000e+00]]; [0.]
138; [[ 9.484  9.4   11.39   9.516  0.     0.     9.32  18.8   10.03   0.
   9.47   0.     0.     9.51   0.     0.   ]]; [5678.188]
139; [[ 9.484  9.4   11.39   9.516  0.     0.     9.32  18.8   10.03   0.
   9.47   0.     0.     9.51   0.     0.   ]]; [0.]
140; [[9.5312e+00 9.2812e+00 1.1773e+01 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8859e+01 1.0000e+01 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [5725.1772]
141; [[9.5312e+00 9.2812e+00 1.1773e+01 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8859e+01 1.0000e+01 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [0.]
142; [[11.91   1.091 20.36  11.91   0.     0.     3.049 14.94  12.69   0.
  11.88   0.     0.    11.91   0.     0.   ]]; [5543.955]
143; [[9.5312e+00 1.1444e-04 8.2656e+00 9.5234e+00 2.4033e-04 2.4033e-04
  1.1444e-04 9.5312e+00 1.0117e+01 2.4033e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [2688.6296]
144; [[9.531e+00 2.310e-03 6.812e+00 9.531e+00 0.000e+00 0.000e+00 2.310e-03
  9.531e+00 9.688e+00 5.316e-02 9.531e+00 0.000e+00 0.000e+00 9.531e+00
  0.000e+00 0.000e+00]]; [2617.575]
145; [[1.1016e+01 3.0308e-03 8.2656e+00 1.0914e+01 7.7100e-01 1.4305e-04
  3.0308e-03 1.0055e+01 1.0391e+01 2.9182e-04 1.0047e+01 1.4305e-04
  1.4305e-04 1.0438e+01 1.4305e-04 1.4305e-04]]; [3186.541]
146; [[9.0391e+00 2.3098e-03 9.6250e+00 9.0391e+00 4.5264e-01 0.0000e+00
  2.3098e-03 9.4922e+00 9.7969e+00 1.1826e-04 9.4844e+00 0.0000e+00
  0.0000e+00 9.9141e+00 0.0000e+00 0.0000e+00]]; [2626.238]
147; [[9.3125e+00 1.7834e-04 1.2719e+01 9.3125e+00 2.1448e-01 1.1444e-04
  1.7834e-04 9.5234e+00 9.7266e+00 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.7422e+00 1.1444e-04 1.1444e-04]]; [2802.0198]
148; [[9.3594e+00 2.3098e-03 1.0125e+01 9.3594e+00 1.7200e-01 0.0000e+00
  2.3098e-03 9.5312e+00 9.9844e+00 1.1826e-04 9.5234e+00 0.0000e+00
  0.0000e+00 9.6953e+00 0.0000e+00 0.0000e+00]]; [2722.4553]
149; [[9.3594e+00 2.3098e-03 1.0125e+01 9.3594e+00 1.7200e-01 0.0000e+00
  2.3098e-03 9.5312e+00 9.9844e+00 1.1826e-04 9.5234e+00 0.0000e+00
  0.0000e+00 9.6953e+00 0.0000e+00 0.0000e+00]]; [0.]
150; [[9.3594e+00 2.3098e-03 1.0125e+01 9.3594e+00 1.7200e-01 0.0000e+00
  2.3098e-03 9.5312e+00 9.9844e+00 1.1826e-04 9.5234e+00 0.0000e+00
  0.0000e+00 9.6953e+00 0.0000e+00 0.0000e+00]]; [0.]
151; [[1.1148e+01 3.0308e-03 1.9375e+01 1.1133e+01 6.4600e-01 1.4305e-04
  3.0308e-03 1.1742e+01 1.2016e+01 1.4305e-04 1.1742e+01 1.4305e-04
  1.4305e-04 1.2469e+01 1.4305e-04 1.4305e-04]]; [4309.2324]
152; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [4406.1997]
153; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
154; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
155; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
156; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
157; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
158; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
159; [[ 9.375  9.73   8.96   9.43   0.1    0.     5.438 14.97   9.96   0.
   9.52   0.     0.     9.62   0.     0.   ]]; [0.]
160; [[6.2695e-01 1.2328e+01 1.4305e-04 6.2646e-01 1.4305e-04 1.4305e-04
  1.1875e+01 1.1875e+01 6.2646e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1064.7562]
161; [[6.2695e-01 1.2328e+01 1.4305e-04 6.2646e-01 1.4305e-04 1.4305e-04
  1.1875e+01 1.1875e+01 6.2646e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
162; [[5.5664e-01 7.6602e+00 0.0000e+00 5.5615e-01 0.0000e+00 0.0000e+00
  9.5234e+00 9.5234e+00 5.5615e-01 1.1826e-04 0.0000e+00 0.0000e+00
  0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]]; [669.3132]
163; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [1002.2539]
164; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
165; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
166; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
167; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
168; [[ 0.5513 12.71    0.      0.4414  0.      0.      9.46   11.82    0.552
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
169; [[ 0.2095 12.36    0.      0.2094  0.      0.      9.33    9.33    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [715.476]
170; [[ 0.2095 12.36    0.      0.2094  0.      0.      9.33    9.33    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
171; [[ 0.2095 12.36    0.      0.2094  0.      0.      9.33    9.33    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
172; [[ 0.2095 12.36    0.      0.2094  0.      0.      9.33    9.33    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
173; [[ 0.2095 12.36    0.      0.2094  0.      0.      9.33    9.33    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
174; [[ 0.492  11.11    0.      0.4922  0.      0.     11.734  11.734   0.4922
   0.      0.      0.      0.      0.      0.      0.    ]]; [1004.3759]
175; [[0.2576 8.47   0.     0.2573 0.     0.     9.33   9.336  0.2573 0.
  0.     0.     0.     0.     0.     0.    ]]; [644.9948]
176; [[ 0.4553 12.73    0.      0.4556  0.      0.     11.75   11.75    0.4556
   0.      0.      0.      0.      0.      0.      0.    ]]; [1042.9972]
177; [[ 0.4553 12.73    0.      0.4556  0.      0.     11.75   11.75    0.4556
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
178; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [983.37836]
179; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
180; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
181; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
182; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
183; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
184; [[1.5173e-01 1.2203e+01 1.4305e-04 1.5161e-01 1.4305e-04 1.4305e-04
  1.1586e+01 1.1586e+01 1.5161e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
185; [[0.592 8.95  0.    0.592 0.    0.    9.52  9.53  0.592 0.    0.    0.
  0.    0.    0.    0.   ]]; [698.66235]
186; [[2.2131e-01 1.2641e+01 1.1444e-04 2.2131e-01 1.1444e-04 1.1444e-04
  9.5078e+00 9.4922e+00 2.2107e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [741.0939]
187; [[2.2131e-01 1.2641e+01 1.1444e-04 2.2131e-01 1.1444e-04 1.1444e-04
  9.5078e+00 9.4922e+00 2.2107e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.]
188; [[ 0.548 10.68   0.     0.548  0.     0.     9.51   9.516  0.548  0.
   0.     0.     0.     0.     0.     0.   ]]; [728.7819]
189; [[ 0.548 10.68   0.     0.548  0.     0.     9.51   9.516  0.548  0.
   0.     0.     0.     0.     0.     0.   ]]; [0.]
190; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [1589.7667]
191; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
192; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
193; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
194; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
195; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
196; [[3.2461e+00 7.9414e+00 2.7207e+00 3.2520e+00 1.1444e-04 1.1444e-04
  9.5156e+00 1.2250e+01 3.3750e+00 1.1444e-04 2.7441e+00 1.1444e-04
  1.1444e-04 2.7441e+00 1.1444e-04 1.1444e-04]]; [0.]
197; [[ 9.53  9.34  9.16  9.53  0.    0.    9.53 19.06 10.24  0.    9.52  0.
   0.    9.52  0.    0.  ]]; [5656.725]
198; [[ 9.53  9.34  9.16  9.53  0.    0.    9.53 19.06 10.24  0.    9.52  0.
   0.    9.52  0.    0.  ]]; [0.]
199; [[9.5312e+00 2.9785e+00 1.2414e+01 9.5312e+00 1.1444e-04 1.1444e-04
  3.2090e+00 1.2742e+01 9.8203e+00 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [3687.139]
200; [[9.5312e+00 2.9785e+00 1.2414e+01 9.5312e+00 1.1444e-04 1.1444e-04
  3.2090e+00 1.2742e+01 9.8203e+00 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
201; [[9.5312e+00 2.9785e+00 1.2414e+01 9.5312e+00 1.1444e-04 1.1444e-04
  3.2090e+00 1.2742e+01 9.8203e+00 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
202; [[9.5312e+00 2.9785e+00 1.2414e+01 9.5312e+00 1.1444e-04 1.1444e-04
  3.2090e+00 1.2742e+01 9.8203e+00 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [0.]
203; [[ 9.52  0.   12.58  9.52  0.    0.    0.    9.52  9.84  0.    9.52  0.
   0.    9.53  0.    0.  ]]; [2840.4824]
204; [[9.5312e+00 1.1444e-04 7.5352e+00 9.5312e+00 1.1444e-04 1.1444e-04
  1.1444e-04 9.5312e+00 1.0086e+01 1.1444e-04 9.5312e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [2661.4636]
205; [[11.85   0.    11.96  11.805  0.     0.     0.    10.26  10.805  0.
  10.26   0.     0.    10.2    0.     0.   ]]; [3608.9966]
206; [[9.5234e+00 2.7754e+00 1.0484e+01 9.5312e+00 1.1444e-04 1.1444e-04
  2.7754e+00 1.2305e+01 9.9375e+00 1.1444e-04 9.5234e+00 1.1444e-04
  1.1444e-04 9.5312e+00 1.1444e-04 1.1444e-04]]; [3487.481]
207; [[ 9.53  13.484 11.22   9.53   0.     0.     9.38  18.9   10.43   0.
   9.52   0.     0.     9.53   0.     0.   ]]; [5974.728]
208; [[ 9.53  13.484 11.22   9.53   0.     0.     9.38  18.9   10.43   0.
   9.52   0.     0.     9.53   0.     0.   ]]; [0.]
209; [[ 9.53  13.484 11.22   9.53   0.     0.     9.38  18.9   10.43   0.
   9.52   0.     0.     9.53   0.     0.   ]]; [0.]
210; [[ 9.49   5.785  9.305  9.53   0.     0.     8.69  18.2   10.47   0.
   9.52   0.     0.     9.53   0.     0.   ]]; [5209.6855]
211; [[9.5234e+00 5.7852e+00 8.1328e+00 9.4219e+00 1.1444e-04 1.1444e-04
  4.2891e+00 1.2266e+01 8.6094e+00 1.1444e-04 7.9805e+00 1.1444e-04
  1.1444e-04 7.9453e+00 1.1444e-04 1.1444e-04]]; [0.]
212; [[11.516 12.516  8.305 11.5    0.     0.    11.65  21.97  11.22   0.
  10.32   0.     0.    10.31   0.     0.   ]]; [7555.4785]
213; [[11.516 12.516  8.305 11.5    0.     0.    11.65  21.97  11.22   0.
  10.32   0.     0.    10.31   0.     0.   ]]; [0.]
214; [[11.516 12.516  8.305 11.5    0.     0.    11.65  21.97  11.22   0.
  10.32   0.     0.    10.31   0.     0.   ]]; [0.]
215; [[11.516 12.516  8.305 11.5    0.     0.    11.65  21.97  11.22   0.
  10.32   0.     0.    10.31   0.     0.   ]]; [0.]
216; [[11.516 12.516  8.305 11.5    0.     0.    11.65  21.97  11.22   0.
  10.32   0.     0.    10.31   0.     0.   ]]; [0.]
217; [[ 4.645  9.77   6.93   4.695  0.     0.     9.32  13.88   4.92   0.
   4.555  0.     0.     4.59   0.     0.   ]]; [2475.3125]
218; [[ 4.645  9.77   6.93   4.695  0.     0.     9.32  13.88   4.92   0.
   4.555  0.     0.     4.59   0.     0.   ]]; [0.]
219; [[ 0.403  11.6     0.      0.4033  0.      0.      9.4     9.41    0.4033
   0.      0.      0.      0.      0.      0.      0.    ]]; [723.9179]
220; [[0.3245 8.49   0.     0.3245 0.     0.     9.414  9.414  0.3245 0.
  0.     0.     0.     0.     0.     0.    ]]; [658.376]
221; [[0.3245 8.49   0.     0.3245 0.     0.     9.414  9.414  0.3245 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
222; [[0.2886 6.406  0.     0.2886 0.     0.     9.36   9.36   0.2886 0.
  0.     0.     0.     0.     0.     0.    ]]; [610.1914]
223; [[ 0.2296 12.164   0.      0.2295  0.      0.      9.336   9.336   0.2295
   0.      0.      0.      0.      0.      0.      0.    ]]; [714.1672]
224; [[ 0.2296 12.164   0.      0.2295  0.      0.      9.336   9.336   0.2295
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
225; [[ 0.2296 12.164   0.      0.2295  0.      0.      9.336   9.336   0.2295
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
226; [[2.5464e-01 1.2141e+01 1.4305e-04 2.5464e-01 1.4305e-04 1.4305e-04
  1.1664e+01 1.1664e+01 2.5464e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1000.4343]
227; [[2.5464e-01 1.2141e+01 1.4305e-04 2.5464e-01 1.4305e-04 1.4305e-04
  1.1664e+01 1.1664e+01 2.5464e-01 1.4305e-04 1.4305e-04 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
228; [[0.4268 7.77   0.     0.4268 0.     0.     9.414  9.414  0.4268 0.
  0.     0.     0.     0.     0.     0.    ]]; [651.58984]
229; [[1.8628e-01 1.2625e+01 1.1444e-04 1.8604e-01 1.1444e-04 1.1444e-04
  9.2969e+00 9.2969e+00 1.8604e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [715.3342]
230; [[0.3005 8.5    0.     0.3005 0.     0.     9.35   9.35   0.3005 0.
  0.     0.     0.     0.     0.     0.    ]]; [650.54456]
231; [[0.3005 8.5    0.     0.3005 0.     0.     9.35   9.35   0.3005 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
232; [[0.3005 8.5    0.     0.3005 0.     0.     9.35   9.35   0.3005 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
233; [[0.3005 8.5    0.     0.3005 0.     0.     9.35   9.35   0.3005 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
234; [[0.3005 8.5    0.     0.3005 0.     0.     9.35   9.35   0.3005 0.
  0.     0.     0.     0.     0.     0.    ]]; [0.]
235; [[3.3154e-01 1.0000e+01 1.1444e-04 3.3130e-01 1.1444e-04 1.1444e-04
  9.2969e+00 9.2969e+00 3.3130e-01 2.4223e-04 2.4223e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [675.3537]
236; [[ 0.2095 12.23    0.      0.2095  0.      0.      9.28   11.59    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [934.8078]
237; [[ 0.2095 12.23    0.      0.2095  0.      0.      9.28   11.59    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
238; [[ 0.2095 12.23    0.      0.2095  0.      0.      9.28   11.59    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
239; [[ 0.2095 12.23    0.      0.2095  0.      0.      9.28   11.59    0.2094
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
240; [[6.118e-01 1.241e+01 1.431e-04 6.118e-01 1.431e-04 1.431e-04 1.183e+01
  1.182e+01 6.118e-01 3.208e-01 3.208e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [1058.554]
241; [[6.118e-01 1.241e+01 1.431e-04 6.118e-01 1.431e-04 1.431e-04 1.183e+01
  1.182e+01 6.118e-01 3.208e-01 3.208e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
242; [[6.118e-01 1.241e+01 1.431e-04 6.118e-01 1.431e-04 1.431e-04 1.183e+01
  1.182e+01 6.118e-01 3.208e-01 3.208e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
243; [[6.118e-01 1.241e+01 1.431e-04 6.118e-01 1.431e-04 1.431e-04 1.183e+01
  1.182e+01 6.118e-01 3.208e-01 3.208e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
244; [[6.118e-01 1.241e+01 1.431e-04 6.118e-01 1.431e-04 1.431e-04 1.183e+01
  1.182e+01 6.118e-01 3.208e-01 3.208e-01 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.]
245; [[ 0.4485 11.73    0.      0.4485  0.      0.      9.516   9.484   0.4485
   7.93    7.93    0.      0.      0.      0.      0.    ]]; [1034.5728]
246; [[3.5303e-01 1.1414e+01 1.4305e-04 3.5278e-01 1.4305e-04 1.4305e-04
  1.1883e+01 1.1883e+01 3.5303e-01 1.0805e+01 1.0805e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [1523.7509]
247; [[3.5303e-01 1.1414e+01 1.4305e-04 3.5278e-01 1.4305e-04 1.4305e-04
  1.1883e+01 1.1883e+01 3.5303e-01 1.0805e+01 1.0805e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
248; [[3.5303e-01 1.1414e+01 1.4305e-04 3.5278e-01 1.4305e-04 1.4305e-04
  1.1883e+01 1.1883e+01 3.5303e-01 1.0805e+01 1.0805e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
249; [[3.5303e-01 1.1414e+01 1.4305e-04 3.5278e-01 1.4305e-04 1.4305e-04
  1.1883e+01 1.1883e+01 3.5303e-01 1.0805e+01 1.0805e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
250; [[3.5303e-01 1.1414e+01 1.4305e-04 3.5278e-01 1.4305e-04 1.4305e-04
  1.1883e+01 1.1883e+01 3.5303e-01 1.0805e+01 1.0805e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
251; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [1579.0052]
252; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
253; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
254; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
255; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
256; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
257; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
258; [[ 0.7246 11.34    0.      0.7246  0.      0.     11.91   11.9     0.7246
  10.94   10.94    0.      0.      0.      0.      0.    ]]; [0.]
259; [[1.1594e+01 1.1461e+01 1.1148e+01 1.1609e+01 1.4305e-04 1.4305e-04
  1.1859e+01 2.3219e+01 1.1922e+01 1.1484e+01 2.2859e+01 1.4305e-04
  1.4305e-04 1.1375e+01 1.4305e-04 1.4305e-04]]; [9857.223]
260; [[1.1594e+01 1.1461e+01 1.1148e+01 1.1609e+01 1.4305e-04 1.4305e-04
  1.1859e+01 2.3219e+01 1.1922e+01 1.1484e+01 2.2859e+01 1.4305e-04
  1.4305e-04 1.1375e+01 1.4305e-04 1.4305e-04]]; [0.]
261; [[1.1594e+01 1.1461e+01 1.1148e+01 1.1609e+01 1.4305e-04 1.4305e-04
  1.1859e+01 2.3219e+01 1.1922e+01 1.1484e+01 2.2859e+01 1.4305e-04
  1.4305e-04 1.1375e+01 1.4305e-04 1.4305e-04]]; [0.]
262; [[1.1594e+01 1.1461e+01 1.1148e+01 1.1609e+01 1.4305e-04 1.4305e-04
  1.1859e+01 2.3219e+01 1.1922e+01 1.1484e+01 2.2859e+01 1.4305e-04
  1.4305e-04 1.1375e+01 1.4305e-04 1.4305e-04]]; [0.]
263; [[11.34 11.53 10.85 11.44  0.    0.   11.39 22.39 11.51 11.36 22.39  0.
   0.   11.04  0.    0.  ]]; [9325.306]
264; [[11.34 11.53 10.85 11.44  0.    0.   11.39 22.39 11.51 11.36 22.39  0.
   0.   11.04  0.    0.  ]]; [0.]
265; [[ 9.49  10.75   9.77   9.49   0.     0.     9.49  18.95   9.89   9.49
