Step; State; Reward
28; [[8.890625, 9.390625, 8.625, 8.90625, 0.0, 0.0, 9.2890625, 17.90625, 9.34375, 0.0, 8.6171875, 0.0, 0.0, 8.6171875, 0.0, 0.0]]; [3334.4707]
29; [[9.4453125, 10.0703125, 9.359375, 9.5078125, 0.0, 0.0, 9.3125, 18.703125, 9.9296875, 0.0, 9.3984375, 0.0, 0.0, 9.4453125, 0.0, 0.0]]; [3689.5498]
30; [[11.875, 14.734375, 13.2109375, 11.8984375, 0.0001430511474609375, 0.0001430511474609375, 11.65625, 23.5625, 12.4609375, 0.0001430511474609375, 11.8984375, 0.0001430511474609375, 0.0001430511474609375, 11.8984375, 0.0001430511474609375, 0.0001430511474609375]]; [5969.088]
31; [[9.5234375, 7.046875, 9.2578125, 9.5234375, 0.0, 0.0, 6.55859375, 16.03125, 10.125, 0.0, 9.4609375, 0.0, 0.0, 9.5234375, 0.0, 0.0]]; [2904.468]
32; [[9.453125, 10.7578125, 11.1796875, 9.375, 0.00011444091796875, 0.00011444091796875, 9.25, 17.59375, 8.9453125, 0.00011444091796875, 8.34375, 0.00011444091796875, 0.00011444091796875, 8.3125, 0.00011444091796875, 0.00011444091796875]]; [3402.651]
33; [[0.548828125, 9.96875, 0.0, 0.548828125, 0.0, 0.0, 9.5, 9.5, 0.548828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]; [673.8691]
34; [[0.548828125, 9.96875, 0.0, 0.548828125, 0.0, 0.0, 9.5, 9.5, 0.548828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]; [0.]
35; [[2.412109375, 13.515625, 2.859375, 2.419921875, 0.00011444091796875, 0.00011444091796875, 9.5078125, 11.6953125, 2.568359375, 0.0024242401123046875, 2.185546875, 0.00011444091796875, 0.00011444091796875, 2.189453125, 0.00011444091796875, 0.00011444091796875]]; [1236.268]
36; [[11.8359375, 9.578125, 11.2890625, 11.90625, 0.0, 0.0, 11.875, 23.6875, 12.921875, 0.0086669921875, 11.875, 0.0, 0.0, 11.8984375, 0.0, 0.0]]; [5703.5894]
37; [[11.8203125, 0.300537109375, 13.984375, 11.90625, 0.0001430511474609375, 0.0001430511474609375, 0.300537109375, 12.1875, 12.1953125, 0.0001430511474609375, 11.8828125, 0.0001430511474609375, 0.0001430511474609375, 11.9140625, 0.0001430511474609375, 0.0001430511474609375]]; [2203.215]
38; [[9.5234375, 2.595703125, 12.484375, 9.515625, 0.0, 0.0, 2.52734375, 12.0390625, 9.9765625, 0.0, 9.515625, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [1955.1775]
39; [[9.515625, 9.90625, 10.8046875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.484375, 22.8125, 11.953125, 0.0001430511474609375, 11.0, 0.00011444091796875, 0.00011444091796875, 8.828125, 0.00011444091796875, 0.00011444091796875]]; [4896.1074]
40; [[9.5234375, 16.109375, 5.53125, 9.5234375, 0.0, 0.0, 9.421875, 17.6875, 9.2265625, 0.0, 8.2578125, 0.0, 0.0, 8.21875, 0.0, 0.0]]; [3431.316]
41; [[9.5234375, 0.7763671875, 9.515625, 9.515625, 0.00011444091796875, 0.00011444091796875, 0.7763671875, 10.28125, 9.9453125, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.515625, 0.00011444091796875, 0.00011444091796875]]; [1486.5565]
42; [[11.8828125, 5.796875, 12.890625, 11.90625, 0.0, 0.0, 5.75390625, 17.65625, 12.578125, 0.0, 11.90625, 0.0, 0.0, 11.8984375, 0.0, 0.0]]; [3735.2852]
43; [[9.515625, 10.671875, 12.6484375, 9.5234375, 0.0, 0.0, 9.171875, 18.640625, 10.1015625, 0.0, 9.4921875, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [3832.3174]
44; [[9.515625, 10.671875, 12.6484375, 9.5234375, 0.0, 0.0, 9.171875, 18.640625, 10.1015625, 0.0, 9.4921875, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [0.]
45; [[9.4453125, 9.4921875, 7.15625, 9.5234375, 0.0, 0.0, 9.484375, 18.515625, 10.1015625, 0.0, 9.1328125, 0.0, 0.0, 9.1015625, 0.0, 0.0]]; [3536.0608]
46; [[11.8125, 6.78125, 10.140625, 11.71875, 0.0, 0.0, 8.375, 18.65625, 11.171875, 0.0, 10.125, 0.0, 0.0, 10.1328125, 0.0, 0.0]]; [3823.3772]
47; [[11.8125, 6.78125, 10.140625, 11.71875, 0.0, 0.0, 8.375, 18.65625, 11.171875, 0.0, 10.125, 0.0, 0.0, 10.1328125, 0.0, 0.0]]; [0.]
48; [[11.703125, 0.0, 14.296875, 11.8046875, 0.0, 0.0, 0.0, 11.8046875, 12.421875, 0.0, 11.8046875, 0.0, 0.0, 11.78125, 0.0, 0.0]]; [2128.3003]
49; [[7.94921875, 6.389617919921875e-05, 12.0, 7.859375, 1.642578125, 0.0, 6.389617919921875e-05, 9.4765625, 9.7734375, 0.0, 9.4765625, 0.0, 0.0, 11.1328125, 0.0, 0.0]]; [1389.5546]
50; [[8.8203125, 0.0, 9.09375, 8.828125, 0.69775390625, 0.0, 0.0, 9.5234375, 10.1171875, 0.0, 9.5234375, 0.0, 0.0, 10.2265625, 0.0, 0.0]]; [1345.5327]
51; [[8.8203125, 0.0, 9.09375, 8.828125, 0.69775390625, 0.0, 0.0, 9.5234375, 10.1171875, 0.0, 9.5234375, 0.0, 0.0, 10.2265625, 0.0, 0.0]]; [0.]
52; [[8.8203125, 0.0, 9.09375, 8.828125, 0.69775390625, 0.0, 0.0, 9.5234375, 10.1171875, 0.0, 9.5234375, 0.0, 0.0, 10.2265625, 0.0, 0.0]]; [0.]
53; [[9.265625, 0.0, 4.50390625, 9.3828125, 0.12939453125, 0.0, 0.0, 10.75, 11.421875, 0.0, 10.75, 0.0, 0.0, 6.4140625, 0.0, 0.0]]; [1441.0905]
54; [[9.265625, 0.0, 4.50390625, 9.3828125, 0.12939453125, 0.0, 0.0, 10.75, 11.421875, 0.0, 10.75, 0.0, 0.0, 6.4140625, 0.0, 0.0]]; [0.]
55; [[9.265625, 0.0, 4.50390625, 9.3828125, 0.12939453125, 0.0, 0.0, 10.75, 11.421875, 0.0, 10.75, 0.0, 0.0, 6.4140625, 0.0, 0.0]]; [0.]
56; [[11.7265625, 0.0001430511474609375, 15.3515625, 11.6796875, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 8.984375, 9.171875, 0.00011444091796875, 8.984375, 0.0001430511474609375, 0.0001430511474609375, 11.328125, 0.0001430511474609375, 0.0001430511474609375]]; [1468.1892]
57; [[9.5390625, 0.0, 10.2421875, 9.53125, 0.0, 0.0, 0.0, 9.53125, 9.734375, 0.0, 9.53125, 0.0, 0.0, 9.53125, 0.0, 0.0]]; [1375.3749]
58; [[11.8984375, 0.0001430511474609375, 11.21875, 11.890625, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 11.890625, 12.484375, 0.0001430511474609375, 11.890625, 0.0001430511474609375, 0.0001430511474609375, 11.890625, 0.0001430511474609375, 0.0001430511474609375]]; [2084.295]
59; [[9.4453125, 3.974609375, 8.875, 9.453125, 0.0, 0.0, 3.51171875, 12.4296875, 9.5234375, 0.004619598388671875, 8.9296875, 0.0, 0.0, 8.921875, 0.0, 0.0]]; [1953.5702]
60; [[9.4453125, 9.328125, 9.4375, 9.5234375, 0.00011444091796875, 0.00011444091796875, 9.2578125, 18.46875, 9.96875, 0.00011444091796875, 9.21875, 0.00011444091796875, 0.00011444091796875, 9.2265625, 0.00011444091796875, 0.00011444091796875]]; [3596.7898]
61; [[9.4609375, 12.3125, 11.984375, 9.5, 0.0, 0.0, 9.4375, 18.875, 9.859375, 0.0, 9.453125, 0.0, 0.0, 9.4609375, 0.0, 0.0]]; [3920.3035]
