Step; State; Reward
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[1.1852e+01 1.6484e+01 1.1445e+01 1.1906e+01 1.4305e-04 1.4305e-04
  1.1648e+01 2.3531e+01 1.2680e+01 1.4305e-04 1.1875e+01 1.4305e-04
  1.4305e-04 1.1906e+01 1.4305e-04 1.4305e-04]]; [0.]
28; [[1.1852e+01 1.6484e+01 1.1445e+01 1.1906e+01 1.4305e-04 1.4305e-04
  1.1648e+01 2.3531e+01 1.2680e+01 1.4305e-04 1.1875e+01 1.4305e-04
  1.4305e-04 1.1906e+01 1.4305e-04 1.4305e-04]]; [0.]
29; [[1.1852e+01 1.6484e+01 1.1445e+01 1.1906e+01 1.4305e-04 1.4305e-04
  1.1648e+01 2.3531e+01 1.2680e+01 1.4305e-04 1.1875e+01 1.4305e-04
  1.4305e-04 1.1906e+01 1.4305e-04 1.4305e-04]]; [0.]
30; [[ 9.51  10.25   9.58   9.51   0.     0.     9.39  18.9   10.15   0.
   9.51   0.     0.     9.516  0.     0.   ]]; [5673.2554]
31; [[ 9.51  10.25   9.58   9.51   0.     0.     9.39  18.9   10.15   0.
   9.51   0.     0.     9.516  0.     0.   ]]; [0.]
32; [[ 9.51  10.25   9.58   9.51   0.     0.     9.39  18.9   10.15   0.
   9.51   0.     0.     9.516  0.     0.   ]]; [0.]
33; [[9.5156e+00 7.2266e-02 9.4141e+00 9.5156e+00 1.1444e-04 1.1444e-04
  1.8926e+00 1.1703e+01 9.8359e+00 1.1444e-04 9.5156e+00 1.1444e-04
  1.1444e-04 9.5234e+00 1.1444e-04 1.1444e-04]]; [3179.4475]
34; [[ 9.53  10.914 10.89   9.53   0.     0.     9.52  19.06  10.32   0.
   9.53   0.     0.     9.54   0.     0.   ]]; [5851.3604]
35; [[ 9.53  10.914 10.89   9.53   0.     0.     9.52  19.06  10.32   0.
   9.53   0.     0.     9.54   0.     0.   ]]; [0.]
36; [[ 9.53  10.914 10.89   9.53   0.     0.     9.52  19.06  10.32   0.
   9.53   0.     0.     9.54   0.     0.   ]]; [0.]
37; [[9.5078e+00 1.2080e+00 9.1875e+00 9.5000e+00 1.1444e-04 1.1444e-04
  3.2754e+00 1.2773e+01 1.0148e+01 1.1444e-04 9.5000e+00 1.1444e-04
  1.1444e-04 9.5078e+00 1.1444e-04 1.1444e-04]]; [3482.058]
38; [[8.086 2.82  4.938 8.01  0.    0.    2.156 8.83  7.2   0.    6.676 0.
  0.    6.574 0.    0.   ]]; [1988.8097]
39; [[8.086 2.82  4.938 8.01  0.    0.    2.156 8.83  7.2   0.    6.676 0.
  0.    6.574 0.    0.   ]]; [0.]
40; [[8.086 2.82  4.938 8.01  0.    0.    2.156 8.83  7.2   0.    6.676 0.
  0.    6.574 0.    0.   ]]; [0.]
41; [[1.1844e+01 1.1797e+01 1.1656e+01 1.1914e+01 3.0136e-04 3.0136e-04
  1.1664e+01 2.3312e+01 1.2352e+01 3.0136e-04 1.1648e+01 1.4305e-04
  1.4305e-04 1.1664e+01 1.4305e-04 1.4305e-04]]; [8531.726]
42; [[1.1844e+01 1.1797e+01 1.1656e+01 1.1914e+01 3.0136e-04 3.0136e-04
  1.1664e+01 2.3312e+01 1.2352e+01 3.0136e-04 1.1648e+01 1.4305e-04
  1.4305e-04 1.1664e+01 1.4305e-04 1.4305e-04]]; [0.]
43; [[1.1844e+01 1.1797e+01 1.1656e+01 1.1914e+01 3.0136e-04 3.0136e-04
  1.1664e+01 2.3312e+01 1.2352e+01 3.0136e-04 1.1648e+01 1.4305e-04
  1.4305e-04 1.1664e+01 1.4305e-04 1.4305e-04]]; [0.]
44; [[1.1844e+01 1.1797e+01 1.1656e+01 1.1914e+01 3.0136e-04 3.0136e-04
  1.1664e+01 2.3312e+01 1.2352e+01 3.0136e-04 1.1648e+01 1.4305e-04
  1.4305e-04 1.1664e+01 1.4305e-04 1.4305e-04]]; [0.]
45; [[1.1844e+01 1.1797e+01 1.1656e+01 1.1914e+01 3.0136e-04 3.0136e-04
  1.1664e+01 2.3312e+01 1.2352e+01 3.0136e-04 1.1648e+01 1.4305e-04
  1.4305e-04 1.1664e+01 1.4305e-04 1.4305e-04]]; [0.]
46; [[ 9.44 11.43 10.67  9.5   0.    0.    9.31 18.78  9.88  0.    9.47  0.
   0.    9.51  0.    0.  ]]; [5726.67]
47; [[1.1906e+01 1.0195e+01 1.4305e+01 1.1898e+01 1.4305e-04 1.4305e-04
  1.1742e+01 2.3641e+01 1.2953e+01 1.4305e-04 1.1906e+01 1.4305e-04
  1.4305e-04 1.1898e+01 1.4305e-04 1.4305e-04]]; [8809.408]
48; [[1.1906e+01 1.0195e+01 1.4305e+01 1.1898e+01 1.4305e-04 1.4305e-04
  1.1742e+01 2.3641e+01 1.2953e+01 1.4305e-04 1.1906e+01 1.4305e-04
  1.4305e-04 1.1898e+01 1.4305e-04 1.4305e-04]]; [0.]
49; [[1.1906e+01 1.0195e+01 1.4305e+01 1.1898e+01 1.4305e-04 1.4305e-04
  1.1742e+01 2.3641e+01 1.2953e+01 1.4305e-04 1.1906e+01 1.4305e-04
  1.4305e-04 1.1898e+01 1.4305e-04 1.4305e-04]]; [0.]
50; [[1.1906e+01 1.0195e+01 1.4305e+01 1.1898e+01 1.4305e-04 1.4305e-04
  1.1742e+01 2.3641e+01 1.2953e+01 1.4305e-04 1.1906e+01 1.4305e-04
