Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5202, 838.29, 494.0, 4.94, -1, 1
5201, 614.02, 487.0, 6.65, -1, 3
46110, 534.0, 500.0, 7.86, 25542.0, 4
5201, 869.04, 493.0, 4.76, -1, 2
5202, 914.69, 493.0, 4.52, -1, 0
5202, 894.61, 493.0, 4.62, -1, 2
5201, 885.28, 490.0, 4.64, -1, 0
46112, 955.29, 501.0, 4.4, 10859.0, 4
5201, 881.58, 492.0, 4.68, -1, 1
5202, 801.0, 488.0, 5.12, -1, 3
46110, 614.0, 500.0, 6.83, 13845.0, 3
46112, 913.0, 500.0, 4.6, 6582.0, 0
46112, 837.0, 501.0, 5.02, 4295.0, 1
46110, 868.0, 501.0, 4.84, 5913.0, 2
5201, 536.49, 487.0, 7.62, -1, 4
5202, 955.51, 489.0, 4.3, -1, 4
46110, 884.0, 500.0, 4.75, 6257.0, 0
46112, 798.0, 501.0, 5.26, 34048.0, 3
46112, 894.0, 500.0, 4.69, 6868.0, 2
46110, 881.0, 501.0, 4.77, 6455.0, 1
