Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  68.00-69.16  sec   509 KBytes  3.60 Mbits/sec    0    321 KBytes       
[  4]  69.16-70.00  sec   382 KBytes  3.72 Mbits/sec    0    346 KBytes       
[  4]  70.00-71.01  sec  63.6 KBytes   520 Kbits/sec    0    351 KBytes       
[  4]  71.01-72.03  sec   318 KBytes  2.54 Mbits/sec    0    373 KBytes       
[  4]  72.03-73.00  sec   509 KBytes  4.28 Mbits/sec    0    383 KBytes       
[  4]  73.00-74.06  sec   382 KBytes  2.97 Mbits/sec    0    386 KBytes       
[  4]  74.06-75.01  sec   318 KBytes  2.75 Mbits/sec    0    387 KBytes       
[  4]  75.01-76.02  sec   573 KBytes  4.64 Mbits/sec    0    389 KBytes       
[  4]  76.02-77.01  sec   636 KBytes  5.25 Mbits/sec    0    397 KBytes       
[  4]  77.01-77.01  sec  0.00 Bytes  0.00 bits/sec    0    397 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-77.01  sec  10.2 MBytes  1.11 Mbits/sec  174             sender
[  4]   0.00-77.01  sec  6.60 MBytes   719 Kbits/sec                  receiver

iperf Done.
