Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec    0   32.5 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    0   35.4 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   49.5 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    0   70.7 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    106 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    9    115 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    8   94.7 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   94.7 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   13   94.7 KBytes       
[  4]  37.00-38.00  sec   318 KBytes  2.61 Mbits/sec    0   89.1 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0   67.9 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   522 Kbits/sec    0   74.9 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   521 Kbits/sec    0   77.8 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   522 Kbits/sec    0   77.8 KBytes       
[  4]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec    0   80.6 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   83.4 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0   96.2 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    8   67.9 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0   70.7 KBytes       
[  4]  47.00-48.01  sec  63.6 KBytes   519 Kbits/sec    0   77.8 KBytes       
[  4]  48.01-49.00  sec  63.6 KBytes   524 Kbits/sec    0   89.1 KBytes       
[  4]  49.00-50.00  sec  63.6 KBytes   521 Kbits/sec    0   93.3 KBytes       
[  4]  50.00-51.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  4]  52.00-53.00  sec   191 KBytes  1.56 Mbits/sec    0    105 KBytes       
[  4]  53.00-54.00  sec   255 KBytes  2.08 Mbits/sec    0    119 KBytes       
[  4]  54.00-55.00  sec   318 KBytes  2.61 Mbits/sec    0    143 KBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec    0    171 KBytes       
[  4]  56.00-57.00  sec   636 KBytes  5.22 Mbits/sec    0    229 KBytes       
[  4]  57.00-58.00  sec   636 KBytes  5.20 Mbits/sec    0    294 KBytes       
[  4]  58.00-59.00  sec   573 KBytes  4.69 Mbits/sec    0    365 KBytes       
[  4]  59.00-60.00  sec   509 KBytes  4.16 Mbits/sec    0    427 KBytes       
[  4]  60.00-61.00  sec   954 KBytes  7.82 Mbits/sec   27    482 KBytes       
[  4]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec   28    411 KBytes       
[  4]  62.00-63.00  sec  63.6 KBytes   522 Kbits/sec   69    386 KBytes       
[  4]  63.00-64.00  sec   318 KBytes  2.61 Mbits/sec   14    386 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0    386 KBytes       
[  4]  65.00-66.00  sec  63.6 KBytes   520 Kbits/sec   19    386 KBytes       
[  4]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0    386 KBytes       
[  4]  67.00-68.00  sec  1.06 MBytes  8.86 Mbits/sec    0    351 KBytes       
[  4]  68.00-69.00  sec   509 KBytes  4.17 Mbits/sec    0    276 KBytes       
[  4]  69.00-70.01  sec   255 KBytes  2.06 Mbits/sec    0    297 KBytes       
[  4]  70.01-70.01  sec  0.00 Bytes  0.00 bits/sec    0    297 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-70.01  sec  10.1 MBytes  1.21 Mbits/sec  222             sender
[  4]   0.00-70.01  sec  7.35 MBytes   881 Kbits/sec                  receiver

iperf Done.
