Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   184 KBytes  1.51 Mbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  69.3 KBytes   568 Kbits/sec    0   18.4 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   21.2 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   522 Kbits/sec    0   32.5 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   56.6 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   80.6 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.09 Mbits/sec    0    119 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    165 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   521 Kbits/sec    0    178 KBytes       
[  4]   9.00-10.00  sec   509 KBytes  4.16 Mbits/sec    0    249 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    0    266 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec   51    189 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   12    189 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    2    189 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   41    141 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec   21    189 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    6    144 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    0    134 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    143 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0    148 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    156 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    158 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    158 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    163 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   522 Kbits/sec    0    171 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    182 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    215 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    274 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    0    284 KBytes       
[  4]  29.00-30.00  sec   827 KBytes  6.77 Mbits/sec    0    379 KBytes       
[  4]  30.00-31.00  sec   509 KBytes  4.16 Mbits/sec    0    447 KBytes       
[  4]  31.00-32.00  sec   891 KBytes  7.31 Mbits/sec    0    570 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    590 KBytes       
[  4]  33.00-34.00  sec   891 KBytes  7.30 Mbits/sec   36    588 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    4    576 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0    498 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    7    498 KBytes       
[  4]  37.00-38.00  sec   827 KBytes  6.78 Mbits/sec    4   17.0 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec    0   21.2 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    1   31.1 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0    352 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.08 Mbits/sec    0    365 KBytes       
[  4]  42.00-43.00  sec   382 KBytes  3.13 Mbits/sec    0    389 KBytes       
[  4]  43.00-44.00  sec   382 KBytes  3.13 Mbits/sec    0    407 KBytes       
[  4]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    0    417 KBytes       
[  4]  45.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    417 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-45.00  sec  10.1 MBytes  1.89 Mbits/sec  185             sender
[  4]   0.00-45.00  sec  6.56 MBytes  1.22 Mbits/sec                  receiver

iperf Done.
