Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   206 KBytes  1.69 Mbits/sec    0   18.4 KBytes       
[  4]   1.00-2.00   sec   147 KBytes  1.20 Mbits/sec    0   24.0 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   29.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   39.6 KBytes       
[  4]   4.00-5.00   sec   318 KBytes  2.61 Mbits/sec    0   66.5 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    106 KBytes       
[  4]   6.00-7.00   sec   382 KBytes  3.13 Mbits/sec    0    148 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    216 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    267 KBytes       
[  4]   9.00-10.00  sec   445 KBytes  3.65 Mbits/sec    0    325 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec    0    393 KBytes       
[  4]  11.00-12.00  sec   700 KBytes  5.74 Mbits/sec    0    488 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   24    437 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   69    342 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   24    342 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec   84    235 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec   43    221 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   36    240 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]  19.00-20.00  sec   636 KBytes  5.21 Mbits/sec    0    199 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    243 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    256 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    266 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.08 Mbits/sec    0    281 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    281 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    287 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    298 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    298 KBytes       
[  4]  29.00-30.02  sec   127 KBytes  1.03 Mbits/sec    0    328 KBytes       
[  4]  30.02-31.00  sec   127 KBytes  1.06 Mbits/sec    0    342 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    342 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   27    242 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    242 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.60 Mbits/sec   19    242 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    242 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   33    242 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec   41    168 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  39.00-40.00  sec   445 KBytes  3.65 Mbits/sec    1    168 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    2    117 KBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.61 Mbits/sec    0    120 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0    120 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    0    133 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0    139 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0    143 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    147 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.56 Mbits/sec    0    161 KBytes       
[  4]  49.00-50.00  sec   318 KBytes  2.61 Mbits/sec    0    185 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    226 KBytes       
[  4]  51.00-52.00  sec   700 KBytes  5.73 Mbits/sec    0    290 KBytes       
[  4]  52.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    290 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-52.00  sec  10.3 MBytes  1.66 Mbits/sec  403             sender
[  4]   0.00-52.00  sec  7.79 MBytes  1.26 Mbits/sec                  receiver

iperf Done.
