agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A_LA,4,46112,100M,101.0,3384.0,412.0,2.06,4
A_LA,4,46112,100M,100.0,8091.0,434.0,1.94,0
A_LA,4,46114,100M,100.0,6008.0,274.73,3.06,4
A_LA,4,46110,100M,100.0,3765.0,367.0,2.29,3
A_LA,4,46110,100M,100.0,1276.0,241.0,3.49,2
A_LA,4,46112,100M,100.0,4013.0,271.0,3.1,1
A_LA,4,46112,100M,100.0,8106.0,434.0,1.93,3
A_LA,4,46116,100M,101.0,4611.0,445.0,1.91,4
A_LA,4,46110,100M,100.0,10811.0,204.0,4.13,0
A_LA,4,46110,100M,100.0,3114.0,160.0,5.25,1
A_LA,4,46112,100M,100.0,1967.0,288.0,2.91,2
A_LA,4,46116,200M,200.0,16015.0,589.0,2.85,0
A_LA,4,46110,200M,201.0,16992.0,801.0,2.1,4
A_LA,4,46114,200M,201.0,15963.0,700.0,2.41,3
A_LA,4,46114,200M,201.0,11318.0,712.14,2.37,2
A_LA,4,46116,200M,200.0,37962.0,522.0,3.22,1
A_LA,4,46116,200M,200.0,27792.0,628.0,2.67,3
A_LA,4,46112,200M,200.0,32393.0,1076.0,1.56,4
A_LA,4,46114,200M,201.0,21156.0,393.0,4.29,0
A_LA,4,46114,200M,201.0,27377.0,690.8,2.44,1
A_LA,4,46116,200M,200.0,12248.0,606.0,2.77,2
A_LA,4,46112,200M,201.0,28424.0,605.0,2.79,1
A_LA,4,46110,200M,200.0,14640.0,622.02,2.7,2
A_LA,4,46114,200M,200.0,31994.0,541.61,3.1,4
A_LA,4,46110,200M,200.0,15752.0,409.25,4.1,3
A_LA,4,46112,200M,200.0,22363.0,512.0,3.28,0
A_LA,4,46112,200M,201.0,11792.0,483.28,3.49,2
A_LA,4,46110,200M,200.0,41682.0,496.0,3.39,1
A_LA,4,46110,200M,201.0,18231.0,538.0,3.14,0
A_LA,4,46112,200M,200.0,28440.0,569.1,2.96,3
A_LA,4,46116,200M,201.0,27987.0,872.0,1.93,4
A_LA,4,46112,500M,500.0,104964.0,3020.0,1.39,0
A_LA,4,46110,500M,500.0,40424.0,1986.0,2.11,3
A_LA,4,46114,500M,501.0,85906.0,1476.23,2.84,4
A_LA,4,46110,500M,501.0,64005.0,1988.0,2.11,2
A_LA,4,46112,500M,500.0,51016.0,2185.0,1.92,1
A_LA,4,46116,500M,501.0,65002.0,1797.0,2.34,4
A_LA,4,46112,500M,501.0,29348.0,1648.05,2.55,3
A_LA,4,46110,500M,500.0,85134.0,1978.0,2.12,0
A_LA,4,46110,500M,501.0,62120.0,2003.0,2.1,1
A_LA,4,46112,500M,501.0,87226.0,2107.0,1.99,2
A_LA,4,46116,500M,500.0,95092.0,2645.0,1.59,1
A_LA,4,46114,500M,501.0,72746.0,1390.0,3.02,2
A_LA,4,46114,500M,501.0,31471.0,1929.0,2.18,3
A_LA,4,46110,500M,501.0,57000.0,1834.0,2.29,4
A_LA,4,46116,500M,500.0,59818.0,2164.0,1.94,0
A_LA,4,46116,500M,501.0,79811.0,1585.0,2.65,2
A_LA,4,46114,500M,500.0,55409.0,1342.0,3.13,1
A_LA,4,46114,500M,500.0,45301.0,1220.0,3.44,0
A_LA,4,46112,500M,500.0,84484.0,1753.0,2.39,4
A_LA,4,46116,500M,500.0,20374.0,1446.0,2.9,3
A_LA,8,46120,10M,10.2,118.0,52.01,1.64,2
A_LA,8,46110,10M,10.7,25.0,23.0,3.91,0
A_LA,8,46110,10M,10.8,3.0,26.0,3.48,1
A_LA,8,46120,10M,10.4,153.0,40.0,2.19,3
A_LA,8,46120,10M,10.0,114.0,42.01,2.01,1
A_LA,8,46110,10M,10.3,0.0,15.02,5.77,3
A_LA,8,46110,10M,10.0,0.0,15.0,5.61,2
A_LA,8,46120,10M,11.1,411.0,111.76,0.8154296875,0
A_LA,8,46120,10M,10.3,4.0,46.01,1.87,4
A_LA,8,46110,10M,10.7,0.0,15.71,5.73,4
A_LA,8,46118,10M,10.1,175.0,42.0,2.02,1
A_LA,8,46116,10M,10.2,46.0,63.0,1.36,4
A_LA,8,46118,10M,10.0,119.0,45.02,1.87,0
A_LA,8,46118,10M,10.2,248.0,74.0,1.16,2
A_LA,8,46118,10M,10.2,53.0,62.0,1.38,3
A_LA,8,46116,10M,10.3,146.0,61.0,1.41,3
A_LA,8,46116,10M,10.3,66.0,48.05,1.79,2
A_LA,8,46118,10M,10.5,102.0,62.0,1.42,4
A_LA,8,46116,10M,10.9,305.0,107.0,0.837890625,0
A_LA,8,46116,10M,11.1,1.0,20.0,4.66,1
A_LA,8,46124,10M,10.3,60.0,61.0,1.42,4
A_LA,8,46114,10M,10.1,125.0,61.0,1.39,4
A_LA,8,46114,10M,10.5,110.0,57.02,1.54,0
A_LA,8,46124,10M,10.2,174.0,77.01,1.11,2
A_LA,8,46124,10M,10.8,109.0,65.0,1.39,3
A_LA,8,46114,10M,10.7,51.0,55.0,1.63,1
A_LA,8,46114,10M,10.3,195.0,52.01,1.66,3
A_LA,8,46124,10M,10.2,227.0,52.08,1.65,1
A_LA,8,46124,10M,10.1,452.0,106.0,0.7763671875,0
A_LA,8,46114,10M,10.2,254.0,39.01,2.2,2
A_LA,8,46112,10M,10.0,210.0,34.01,2.47,3
A_LA,8,46122,10M,10.3,91.0,46.01,1.88,1
A_LA,8,46122,10M,10.4,356.0,88.13,0.962890625,0
A_LA,8,46112,10M,10.1,101.0,24.0,3.55,2
A_LA,8,46112,10M,10.0,138.0,28.0,3.0,0
A_LA,8,46122,10M,10.3,306.0,71.0,1.22,2
A_LA,8,46122,10M,10.2,52.0,66.0,1.3,3
A_LA,8,46112,10M,10.7,2.0,20.0,4.47,1
A_LA,8,46112,10M,10.4,0.0,24.09,3.61,4
A_LA,8,46122,10M,10.2,1.0,34.02,2.52,4
A_LA,8,46122,50M,50.2,636.0,315.0,1.34,2
A_LA,8,46112,50M,50.3,1162.0,278.0,1.52,0
