snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"], timestamp
3,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,4418741048,5,95876,9,2019-09-15 17:41:49.814217
3,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,5199948,5,78770,9,2019-09-15 17:41:49.814219
3,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,1985214,5,30079,2,2019-09-15 17:41:49.814222
3,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,999372,5,15142,5,2019-09-15 17:41:49.814224
3,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,6585611338,5,117621,12,2019-09-15 17:41:49.814226
3,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,1880604,5,28494,12,2019-09-15 17:41:49.814228
3,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,1395662712,5,31908,2,2019-09-15 17:41:49.814230
3,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,5070103892,5,94838,8,2019-09-15 17:41:49.814233
3,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,2631090,5,39865,8,2019-09-15 17:41:49.814236
3,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,3761729168,5,65928,5,2019-09-15 17:41:49.814238
4,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,7232133888,5,126708,11,2019-09-15 17:41:55.827545
4,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,1374252,5,20822,2,2019-09-15 17:41:55.827552
4,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5342549646,5,121451,8,2019-09-15 17:41:55.827554
4,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,1228379096,5,37572,2,2019-09-15 17:41:55.827557
4,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,1919090,5,29077,11,2019-09-15 17:41:55.827559
4,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,3470521366,5,74363,5,2019-09-15 17:41:55.827562
4,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,2944730,5,44617,14,2019-09-15 17:41:55.827564
4,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,1807088,5,27380,5,2019-09-15 17:41:55.827566
4,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,7467362,5,112963,8,2019-09-15 17:41:55.827568
4,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,6265938104,5,115756,14,2019-09-15 17:41:55.827570
4,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,5342549572,5,121450,8,2019-09-15 17:41:55.827573
4,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,7467362,5,112963,8,2019-09-15 17:41:55.827575
4,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5342549646,5,121451,8,2019-09-15 17:41:55.827578
4,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,3470521292,5,74362,5,2019-09-15 17:41:55.827581
4,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,2944656,5,44616,14,2019-09-15 17:41:55.827583
4,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,1807014,5,27379,5,2019-09-15 17:41:55.827585
4,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,6265938030,5,115755,14,2019-09-15 17:41:55.827587
4,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,1374252,5,20822,2,2019-09-15 17:41:55.827589
4,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,1228379170,5,37573,2,2019-09-15 17:41:55.827591
4,00:00:00:00:00:03-00:00:00:00:00:02-1-0x800,0,7467288,5,112962,8,2019-09-15 17:41:55.827594
4,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,1919016,5,29076,11,2019-09-15 17:41:55.827596
4,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,1807014,5,27379,5,2019-09-15 17:41:55.827598
4,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,5342549646,5,121451,8,2019-09-15 17:41:55.827600
4,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,6265938104,5,115756,14,2019-09-15 17:41:55.827602
4,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,2944656,5,44616,14,2019-09-15 17:41:55.827604
4,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,3470521366,5,74363,5,2019-09-15 17:41:55.827606
4,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,7232133888,5,126708,11,2019-09-15 17:41:55.827608
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3046557808,5,69244,5,2019-09-15 17:42:01.845987
5,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,2711082,5,41077,8,2019-09-15 17:42:01.845994
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6216035200,5,137668,14,2019-09-15 17:42:01.845996
5,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,5834929226,5,120021,8,2019-09-15 17:42:01.845999
5,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,46604,5,706,1,2019-09-15 17:42:01.846002
5,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,4418444,5,66946,5,2019-09-15 17:42:01.846004
5,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,7629306718,5,148927,11,2019-09-15 17:42:01.846006
5,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,189978930,5,3337,1,2019-09-15 17:42:01.846008
5,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,3021488,5,45780,11,2019-09-15 17:42:01.846011
5,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,7766342,5,117377,14,2019-09-15 17:42:01.846013
5,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,3046557734,5,69243,5,2019-09-15 17:42:01.846015
5,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,4418444,5,66946,5,2019-09-15 17:42:01.846018
5,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,6216035126,5,137667,14,2019-09-15 17:42:01.846020
5,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,7766342,5,117377,14,2019-09-15 17:42:01.846022
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3046557808,5,69244,5,2019-09-15 17:42:01.846024
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,6216035200,5,137668,14,2019-09-15 17:42:01.846027
5,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,189978856,5,3336,1,2019-09-15 17:42:01.846029
5,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,7629306644,5,148926,11,2019-09-15 17:42:01.846031
5,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,3021414,5,45779,11,2019-09-15 17:42:01.846034
5,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,46530,5,705,1,2019-09-15 17:42:01.846037
5,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,3046557808,5,69244,5,2019-09-15 17:42:01.846040
5,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,2711082,5,41077,8,2019-09-15 17:42:01.846042
