snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"], timestamp
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x806,0,42,5,1,3,2019-09-15 15:10:07.201397
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,2189030,5,33167,3,2019-09-15 15:10:07.201414
2,00:00:00:00:00:02-00:00:00:00:00:01-1-0x806,0,0,5,0,3,2019-09-15 15:10:07.201418
2,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,2188956,5,33166,3,2019-09-15 15:10:07.201421
2,00:00:00:00:00:02-00:00:00:00:00:01-3-0x806,0,42,5,1,3,2019-09-15 15:10:07.201426
2,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,2189030,5,33167,3,2019-09-15 15:10:07.201431

-
2,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,8268467760,5,144872,3,2019-09-15 15:10:07.201423
2,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,8268467760,5,144872,3,2019-09-15 15:10:07.201412
2,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,8268467686,5,144871,3,2019-09-15 15:10:07.201429

3,00:00:00:00:00:01-00:00:00:00:00:02-5-0x806,0,42,5,1,4,2019-09-15 15:10:13.230492
3,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,1420922,5,21529,2,2019-09-15 15:10:13.230499
3,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,21397992776,5,374804,9,2019-09-15 15:10:13.230502
3,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,5663270,5,85807,9,2019-09-15 15:10:13.230504
3,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,5351981394,5,93793,2,2019-09-15 15:10:13.230507

3,00:00:00:00:00:01-00:00:00:00:00:02-3-0x806,0,42,5,1,4,2019-09-15 15:10:13.230510
3,00:00:00:00:00:02-00:00:00:00:00:01-1-0x806,0,42,5,1,9,2019-09-15 15:10:13.230513
3,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,1420848,5,21528,2,2019-09-15 15:10:13.230515
3,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,5663196,5,85806,9,2019-09-15 15:10:13.230518
3,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,21397992776,5,374804,9,2019-09-15 15:10:13.230520
3,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,5351981394,5,93793,2,2019-09-15 15:10:13.230522

3,00:00:00:00:00:01-00:00:00:00:00:02-1-0x806,0,0,5,0,4,2019-09-15 15:10:13.230525
3,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,5351981320,5,93792,2,2019-09-15 15:10:13.230527
3,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,21397992702,5,374803,9,2019-09-15 15:10:13.230529
3,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,1420848,5,21528,2,2019-09-15 15:10:13.230531
3,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,5663270,5,85807,9,2019-09-15 15:10:13.230534
4,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,6171932,5,93514,8,2019-09-15 15:10:19.243981
4,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,23277683468,5,407774,8,2019-09-15 15:10:19.243988
4,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,6171858,5,93513,8,2019-09-15 15:10:19.243992
4,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,23277683468,5,407774,8,2019-09-15 15:10:19.243994
4,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,23277683394,5,407773,8,2019-09-15 15:10:19.243997
4,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,6171858,5,93513,8,2019-09-15 15:10:19.243999
5,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,7191104,5,108956,14,2019-09-15 15:10:25.279183
5,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,3653636,5,55358,5,2019-09-15 15:10:25.279190
5,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,13801121582,5,241739,5,2019-09-15 15:10:25.279192
5,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,27124204146,5,475145,14,2019-09-15 15:10:25.279195
5,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,7191030,5,108955,14,2019-09-15 15:10:25.279198
5,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,3653562,5,55357,5,2019-09-15 15:10:25.279201
5,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,13801121582,5,241739,5,2019-09-15 15:10:25.279203
5,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,27124204146,5,475145,14,2019-09-15 15:10:25.279206
