Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[7.434e-02 2.770e+00 0.000e+00 4.511e-04 4.511e-04 5.969e-02 0.000e+00
  0.000e+00 2.541e+00 2.539e+00 2.516e+00 5.969e-02 2.514e+00 2.514e+00
  2.514e+00 0.000e+00 0.000e+00 0.000e+00 2.514e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]; [0.]
2; [[0.2107 9.59   0.     0.     0.     0.2106 0.     0.     8.91   8.91
  8.81   0.2106 3.947  3.947  3.947  0.     0.     0.     4.04   0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
3; [[ 0.2551 10.055   0.      0.      0.      0.2554  0.      0.      9.
   9.      8.5     0.2554  5.582   5.582   5.582   0.      0.      0.
   5.582   0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
4; [[ 0.4683 11.28    0.      0.      0.      0.4678  0.      0.     11.81
  11.81   11.83    0.4678  8.46    8.46    8.46    0.      0.      0.
   8.516   0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
5; [[0.2834 9.59   0.     0.     0.     0.2837 0.     0.     9.42   9.42
  9.44   0.2837 2.123  2.123  2.123  0.     0.     0.     2.125  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.    ]]; [0.]
6; [[2.0642e-01 9.8281e+00 1.1444e-04 1.1444e-04 1.1444e-04 2.0642e-01
  1.1444e-04 1.1444e-04 9.4453e+00 9.4453e+00 9.4609e+00 2.0642e-01
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
7; [[3.5181e-01 1.2648e+01 0.0000e+00 8.0109e-05 8.0109e-05 3.5181e-01
  0.0000e+00 0.0000e+00 1.1836e+01 1.1836e+01 1.1820e+01 3.5181e-01
  0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
8; [[4.1797e-01 8.9453e+00 1.1444e-04 1.1444e-04 1.1444e-04 4.1748e-01
  1.1444e-04 1.1444e-04 9.4766e+00 9.4766e+00 9.4844e+00 4.1748e-01
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 0.0000e+00 0.0000e+00 0.0000e+00]]; [0.]
