Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  68.00-69.00  sec   127 KBytes  1.04 Mbits/sec    0    140 KBytes       
[  4]  69.00-70.00  sec   127 KBytes  1.04 Mbits/sec    0    156 KBytes       
[  4]  70.00-71.01  sec  63.6 KBytes   519 Kbits/sec    0    180 KBytes       
[  4]  71.01-72.00  sec  63.6 KBytes   523 Kbits/sec    0    205 KBytes       
[  4]  72.00-73.00  sec   636 KBytes  5.22 Mbits/sec    2    181 KBytes       
[  4]  73.00-74.00  sec   764 KBytes  6.25 Mbits/sec    0    215 KBytes       
[  4]  74.00-74.86  sec   509 KBytes  4.84 Mbits/sec    0    233 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-74.86  sec  10.2 MBytes  1.15 Mbits/sec  139             sender
[  4]   0.00-74.86  sec  9.10 MBytes  1.02 Mbits/sec                  receiver

iperf Done.
