Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  1.15 MBytes  9.57 Mbits/sec    0   63.6 KBytes       
[  4]   1.01-2.02   sec   573 KBytes  4.63 Mbits/sec    0   86.3 KBytes       
[  4]   2.02-3.01   sec   255 KBytes  2.11 Mbits/sec    0   97.6 KBytes       
[  4]   3.01-4.00   sec   445 KBytes  3.67 Mbits/sec    0    115 KBytes       
[  4]   4.00-5.01   sec   318 KBytes  2.59 Mbits/sec    0    126 KBytes       
[  4]   5.01-6.01   sec   191 KBytes  1.56 Mbits/sec    0    137 KBytes       
[  4]   6.01-7.01   sec   255 KBytes  2.08 Mbits/sec    0    161 KBytes       
[  4]   7.01-8.00   sec   445 KBytes  3.67 Mbits/sec    0    221 KBytes       
[  4]   8.00-9.00   sec   573 KBytes  4.69 Mbits/sec    0    296 KBytes       
[  4]   9.00-10.00  sec   573 KBytes  4.69 Mbits/sec    0    373 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec    0    445 KBytes       
[  4]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec    3    472 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   38    359 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    4    346 KBytes       
[  4]  14.00-15.00  sec   827 KBytes  6.78 Mbits/sec    0    351 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.08 Mbits/sec    0    378 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   522 Kbits/sec   10    313 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec   25    270 KBytes       
[  4]  18.00-19.00  sec  1.06 MBytes  8.87 Mbits/sec  190    192 KBytes       
[  4]  19.00-20.00  sec  1018 KBytes  8.32 Mbits/sec    0    214 KBytes       
[  4]  20.00-21.00  sec   827 KBytes  6.77 Mbits/sec    0    225 KBytes       
[  4]  21.00-22.00  sec  1018 KBytes  8.33 Mbits/sec    0    229 KBytes       
[  4]  22.00-23.00  sec   891 KBytes  7.32 Mbits/sec    0    229 KBytes       
[  4]  23.00-24.00  sec  1018 KBytes  8.35 Mbits/sec    0    229 KBytes       
[  4]  24.00-25.00  sec   954 KBytes  7.81 Mbits/sec    0    233 KBytes       
[  4]  25.00-26.00  sec  1018 KBytes  8.35 Mbits/sec    0    242 KBytes       
[  4]  26.00-27.00  sec  1018 KBytes  8.33 Mbits/sec    0    263 KBytes       
[  4]  27.00-28.00  sec  1018 KBytes  8.34 Mbits/sec    0    296 KBytes       
[  4]  28.00-29.00  sec   891 KBytes  7.30 Mbits/sec    0    341 KBytes       
[  4]  29.00-30.00  sec   891 KBytes  7.30 Mbits/sec    0    406 KBytes       
[  4]  30.00-31.00  sec   954 KBytes  7.82 Mbits/sec    0    488 KBytes       
[  4]  31.00-32.00  sec  1.55 MBytes  13.0 Mbits/sec    0    595 KBytes       
[  4]  32.00-33.00  sec  1.55 MBytes  13.0 Mbits/sec    0    714 KBytes       
[  4]  33.00-34.00  sec  1.80 MBytes  15.1 Mbits/sec    0    871 KBytes       
[  4]  34.00-35.00  sec  2.17 MBytes  18.2 Mbits/sec    0   1.04 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.23 MBytes       
[  4]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.48 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.73 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.04 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.38 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.72 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.07 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.56 MBytes       
[  4]  43.00-44.00  sec  1.18 MBytes  9.90 Mbits/sec    0   4.05 MBytes       
[  4]  44.00-45.00  sec   827 KBytes  6.77 Mbits/sec    0   4.57 MBytes       
[  4]  45.00-46.00  sec   954 KBytes  7.82 Mbits/sec    0   5.16 MBytes       
[  4]  46.00-47.00  sec   954 KBytes  7.82 Mbits/sec    0   5.72 MBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec  254   5.04 MBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec  614   4.00 MBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec  398   4.00 MBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec  223   3.67 MBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec  887   2.44 MBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec  126   2.27 MBytes       
[  4]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.27 MBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec  577    409 KBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec  1406   1.37 MBytes       
[  4]  56.00-57.00  sec  1011 KBytes  8.28 Mbits/sec  1332   2.29 MBytes       
[  4]  57.00-58.00  sec   191 KBytes  1.56 Mbits/sec  1328   3.21 MBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec  740   3.33 MBytes       
[  4]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec  262   3.33 MBytes       
[  4]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0   3.33 MBytes       
[  4]  61.00-62.00  sec  63.6 KBytes   521 Kbits/sec    1   1.41 KBytes       
[  4]  62.00-63.00  sec  1.24 MBytes  10.4 Mbits/sec  316    325 KBytes       
[  4]  63.00-64.00  sec  1.25 MBytes  10.5 Mbits/sec  644   2.33 MBytes       
[  4]  64.00-64.00  sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-64.00  sec  50.1 MBytes  6.57 Mbits/sec  9378             sender
[  4]   0.00-64.00  sec  44.9 MBytes  5.88 Mbits/sec                  receiver

iperf Done.
