Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   658 KBytes  5.35 Mbits/sec    0   55.1 KBytes       
[  4]   1.01-2.01   sec   318 KBytes  2.61 Mbits/sec    0   69.3 KBytes       
[  4]   2.01-3.00   sec   382 KBytes  3.14 Mbits/sec    0   83.4 KBytes       
[  4]   3.00-4.01   sec   255 KBytes  2.08 Mbits/sec    0   94.7 KBytes       
[  4]   4.01-5.00   sec   191 KBytes  1.57 Mbits/sec    0    102 KBytes       
[  4]   5.00-6.00   sec   445 KBytes  3.65 Mbits/sec    0    134 KBytes       
[  4]   6.00-7.00   sec   509 KBytes  4.17 Mbits/sec    0    182 KBytes       
[  4]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    0    252 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    332 KBytes       
[  4]   9.00-10.00  sec   700 KBytes  5.74 Mbits/sec    0    411 KBytes       
[  4]  10.00-11.00  sec  1.06 MBytes  8.86 Mbits/sec    0    556 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   49    441 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   49    392 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    0    392 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   522 Kbits/sec   63    392 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.09 Mbits/sec   64    392 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    297 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    1   1.41 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   41   58.0 KBytes       
[  4]  19.00-20.00  sec   573 KBytes  4.69 Mbits/sec    8    397 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    397 KBytes       
[  4]  21.00-22.00  sec   445 KBytes  3.65 Mbits/sec    0    578 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    583 KBytes       
[  4]  23.00-24.00  sec   573 KBytes  4.69 Mbits/sec    0    608 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    608 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec   13    502 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   22    457 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  187    434 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   16    434 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   13    433 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec   38    431 KBytes       
[  4]  37.00-38.00  sec   318 KBytes  2.61 Mbits/sec  102    434 KBytes       
[  4]  38.00-39.00  sec   445 KBytes  3.65 Mbits/sec   18    434 KBytes       
[  4]  39.00-39.97  sec  1.24 MBytes  10.8 Mbits/sec    0    621 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-39.97  sec  10.4 MBytes  2.18 Mbits/sec  686             sender
[  4]   0.00-39.97  sec  7.71 MBytes  1.62 Mbits/sec                  receiver

iperf Done.
