Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec   12   82.0 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[  4]  44.00-45.00  sec   318 KBytes  2.60 Mbits/sec    0   90.5 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.57 Mbits/sec    0    100 KBytes       
[  4]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    0    100 KBytes       
[  4]  48.00-49.00  sec   127 KBytes  1.04 Mbits/sec    0    102 KBytes       
[  4]  49.00-50.00  sec   191 KBytes  1.56 Mbits/sec    0    109 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    0    119 KBytes       
[  4]  51.00-52.00  sec   127 KBytes  1.04 Mbits/sec    0    137 KBytes       
[  4]  52.00-53.00  sec  63.6 KBytes   522 Kbits/sec    0    164 KBytes       
[  4]  53.00-54.00  sec   127 KBytes  1.04 Mbits/sec    0    212 KBytes       
[  4]  54.00-55.00  sec   127 KBytes  1.04 Mbits/sec    0    279 KBytes       
[  4]  55.00-56.00  sec  63.6 KBytes   522 Kbits/sec    3    298 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec   58    214 KBytes       
[  4]  57.00-58.00  sec   445 KBytes  3.64 Mbits/sec    0    215 KBytes       
[  4]  58.00-59.00  sec   255 KBytes  2.08 Mbits/sec    0    240 KBytes       
[  4]  59.00-60.00  sec   255 KBytes  2.09 Mbits/sec    0    263 KBytes       
[  4]  60.00-61.00  sec   255 KBytes  2.09 Mbits/sec    0    284 KBytes       
[  4]  61.00-62.00  sec   255 KBytes  2.08 Mbits/sec    0    297 KBytes       
[  4]  62.00-63.00  sec   318 KBytes  2.61 Mbits/sec    0    303 KBytes       
[  4]  63.00-64.00  sec   318 KBytes  2.60 Mbits/sec    0    304 KBytes       
[  4]  64.00-65.00  sec   318 KBytes  2.61 Mbits/sec    0    307 KBytes       
[  4]  65.00-66.00  sec   318 KBytes  2.60 Mbits/sec    0    311 KBytes       
[  4]  66.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    311 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-66.00  sec  10.1 MBytes  1.29 Mbits/sec  362             sender
[  4]   0.00-66.00  sec  8.72 MBytes  1.11 Mbits/sec                  receiver

iperf Done.
