Step; State; Reward
0; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
1; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
2; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
3; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
4; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [100.001]
5; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
6; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
7; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
8; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
9; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
10; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
  4.96372986e+00 1.14440918e-04 0.00000000e+00 0.00000000e+00]]; [-105.29]
11; [[3.77797508e+00 6.56879807e+00 1.14440918e-04 6.33281517e+00
  0.00000000e+00 0.00000000e+00 9.71911621e+00 7.87898254e+00
  6.04200363e-02 8.14007950e+00 7.87885571e+00 1.29243851e+00
